"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia PAUCARTAMBO (000)",10913,132,4695,3478,771,242,92,42,13,,1448
"Catolica (001)",7541,103,3193,2373,569,183,68,33,6,,1013
"Cristiana / Evangelica (002)",2541,19,1152,839,150,42,14,7,7,,311
"Otra (003)",602,7,251,209,40,13,8,1,,,73
"Ninguna (004)",229,3,99,57,12,4,2,1,,,51
,,,,,,,,,,,
"URBANA (006)",2150,21,818,687,203,72,34,13,1,,301
"Catolica (007)",1718,16,623,553,180,65,28,12,1,,240
"Cristiana / Evangelica (008)",297,2,133,94,14,6,3,1,,,44
"Otra (009)",91,3,36,30,8,1,3,,,,10
"Ninguna (010)",44,,26,10,1,,,,,,7
,,,,,,,,,,,
"RURAL (012)",8763,111,3877,2791,568,170,58,29,12,,1147
"Catolica (013)",5823,87,2570,1820,389,118,40,21,5,,773
"Cristiana / Evangelica (014)",2244,17,1019,745,136,36,11,6,7,,267
"Otra (015)",511,4,215,179,32,12,5,1,,,63
"Ninguna (016)",185,3,73,47,11,4,2,1,,,44
