"CUADRO Nº 31: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,,
,,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,,DESOCU-PADO
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA",
,,,,,,,,,,,,,
"Provincia ANTA (000)",16932,33,640,290,256,1583,6904,720,1397,4055,53,464,537
"Agric., ganadería, caza y silvicultura (001)",9548,,8,26,,,6903,5,24,2582,,,
"Pesca (002)",1,,,,,,1,,,,,,
"Explotación de minas y canteras (003)",21,,,1,,,,9,,11,,,
"Industrias manufactureras (004)",563,,2,15,9,4,,470,55,8,,,
"Suministro de electricidad, gas y agua (005)",32,,,7,,,,9,8,8,,,
"Construcción (006)",1065,,6,10,2,,,29,660,358,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (007)",1648,,3,28,4,1173,,183,9,248,,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",202,,1,4,,40,,148,7,2,,,
"Comercio al por mayor (009)",63,,,3,2,56,,,,2,,,
"Comercio al por menor (010)",1383,,2,21,2,1077,,35,2,244,,,
"Hoteles y restaurantes (011)",571,1,4,12,13,312,,1,,228,,,
"Trans., almac. y comunicaciones (012)",820,,1,14,28,21,,3,604,149,,,
"Intermediación financiera (013)",6,,,1,3,1,,,,1,,,
"Activid.inmobil., empres. y alquileres (014)",195,1,54,38,20,32,,3,9,38,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",452,29,18,18,145,15,,4,16,154,53,,
"Enseñanza (016)",521,1,485,3,12,,,,,20,,,
"Servicios sociales y de salud (017)",122,1,27,78,1,2,,3,2,8,,,
"Otras activ. serv.comun.soc y personales (018)",175,,30,36,7,22,,1,10,69,,,
"Hogares privados con servicio doméstico (019)",174,,,1,,1,,,,172,,,
"Actividad economica no especificada (021)",481,,2,2,12,,,,,1,,464,
"Desocupado (022)",537,,,,,,,,,,,,537
"Hombres (023)",12417,27,327,176,168,459,6232,609,1358,2504,51,122,384
"Agric., ganadería, caza y silvicultura (024)",7931,,7,20,,,6232,5,24,1643,,,
"Explotación de minas y canteras (026)",20,,,1,,,,9,,10,,,
"Industrias manufactureras (027)",429,,2,12,6,,,367,35,7,,,
"Suministro de electricidad, gas y agua (028)",31,,,7,,,,8,8,8,,,
"Construcción (029)",1049,,6,7,2,,,29,651,354,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (030)",641,,2,22,2,346,,177,9,83,,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",188,,1,3,,31,,144,7,2,,,
"Comercio al por mayor (032)",31,,,2,1,26,,,,2,,,
"Comercio al por menor (033)",422,,1,17,1,289,,33,2,79,,,
"Hoteles y restaurantes (034)",97,1,2,3,11,56,,1,,23,,,
"Trans., almac. y comunicaciones (035)",766,,1,7,23,12,,3,595,125,,,
"Intermediación financiera (036)",2,,,,1,,,,,1,,,
"Activid.inmobil., empres. y alquileres (037)",154,1,37,31,13,31,,3,9,29,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",354,24,12,15,89,10,,4,16,133,51,,
"Enseñanza (039)",254,1,226,1,9,,,,,17,,,
"Servicios sociales y de salud (040)",45,,10,25,,,,3,2,5,,,
"Otras activ. serv.comun.soc y personales (041)",96,,21,24,3,4,,,9,35,,,
"Hogares privados con servicio doméstico (042)",30,,,,,,,,,30,,,
"Actividad economica no especificada (044)",134,,1,1,9,,,,,1,,122,
"Desocupado (045)",384,,,,,,,,,,,,384
"Mujeres (046)",4515,6,313,114,88,1124,672,111,39,1551,2,342,153
"Agric., ganadería, caza y silvicultura (047)",1617,,1,6,,,671,,,939,,,
"Pesca (048)",1,,,,,,1,,,,,,
"Explotación de minas y canteras (049)",1,,,,,,,,,1,,,
"Industrias manufactureras (050)",134,,,3,3,4,,103,20,1,,,
"Suministro de electricidad, gas y agua (051)",1,,,,,,,1,,,,,
"Construcción (052)",16,,,3,,,,,9,4,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (053)",1007,,1,6,2,827,,6,,165,,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",14,,,1,,9,,4,,,,,
"Comercio al por mayor (055)",32,,,1,1,30,,,,,,,
"Comercio al por menor (056)",961,,1,4,1,788,,2,,165,,,
"Hoteles y restaurantes (057)",474,,2,9,2,256,,,,205,,,
"Trans., almac. y comunicaciones (058)",54,,,7,5,9,,,9,24,,,
"Intermediación financiera (059)",4,,,1,2,1,,,,,,,
"Activid.inmobil., empres. y alquileres (060)",41,,17,7,7,1,,,,9,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",98,5,6,3,56,5,,,,21,2,,
"Enseñanza (062)",267,,259,2,3,,,,,3,,,
"Servicios sociales y de salud (063)",77,1,17,53,1,2,,,,3,,,
"Otras activ. serv.comun.soc y personales (064)",79,,9,12,4,18,,1,1,34,,,
"Hogares privados con servicio doméstico (065)",144,,,1,,1,,,,142,,,
"Actividad economica no especificada (067)",347,,1,1,3,,,,,,,342,
"Desocupado (068)",153,,,,,,,,,,,,153
,,,,,,,,,,,,,
"URBANA (069)",6472,24,460,197,163,1137,1414,439,757,1378,48,182,273
"Agric., ganadería, caza y silvicultura (070)",2046,,2,11,,,1414,4,7,608,,,
"Explotación de minas y canteras (072)",11,,,,,,,7,,4,,,
"Industrias manufactureras (073)",339,,2,8,8,4,,278,35,4,,,
"Suministro de electricidad, gas y agua (074)",22,,,6,,,,7,6,3,,,
"Construcción (075)",533,,5,8,1,,,21,358,140,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (076)",1133,,3,17,3,843,,109,5,153,,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",119,,1,3,,26,,83,5,1,,,
"Comercio al por mayor (078)",47,,,1,1,43,,,,2,,,
"Comercio al por menor (079)",967,,2,13,2,774,,26,,150,,,
"Hoteles y restaurantes (080)",405,1,4,8,7,232,,1,,152,,,
"Trans., almac. y comunicaciones (081)",449,,,14,17,14,,3,325,76,,,
"Intermediación financiera (082)",5,,,1,2,1,,,,1,,,
"Activid.inmobil., empres. y alquileres (083)",127,1,41,29,9,19,,2,3,23,,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",283,21,15,13,96,12,,3,12,63,48,,
"Enseñanza (085)",372,1,347,2,8,,,,,14,,,
"Servicios sociales y de salud (086)",88,,16,58,1,1,,3,2,7,,,
"Otras activ. serv.comun.soc y personales (087)",110,,23,21,4,11,,1,4,46,,,
"Hogares privados con servicio doméstico (088)",83,,,,,,,,,83,,,
"Actividad economica no especificada (090)",193,,2,1,7,,,,,1,,182,
"Desocupado (091)",273,,,,,,,,,,,,273
"Hombres (092)",4191,21,235,120,107,303,1204,370,735,803,46,60,187
"Agric., ganadería, caza y silvicultura (093)",1637,,1,9,,,1204,4,7,412,,,
"Explotación de minas y canteras (095)",10,,,,,,,7,,3,,,
"Industrias manufactureras (096)",256,,2,6,6,,,215,23,4,,,
"Suministro de electricidad, gas y agua (097)",21,,,6,,,,6,6,3,,,
"Construcción (098)",522,,5,5,1,,,21,353,137,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (099)",414,,2,12,2,237,,105,5,51,,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",110,,1,2,,20,,81,5,1,,,
"Comercio al por mayor (101)",25,,,,1,22,,,,2,,,
"Comercio al por menor (102)",279,,1,10,1,195,,24,,48,,,
"Hoteles y restaurantes (103)",60,1,2,3,7,32,,1,,14,,,
"Trans., almac. y comunicaciones (104)",407,,,7,12,7,,3,320,58,,,
"Intermediación financiera (105)",2,,,,1,,,,,1,,,
"Activid.inmobil., empres. y alquileres (106)",98,1,28,25,6,18,,2,3,15,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",218,18,10,12,58,7,,3,12,52,46,,
"Enseñanza (108)",179,1,161,,6,,,,,11,,,
"Servicios sociales y de salud (109)",36,,8,19,,,,3,2,4,,,
"Otras activ. serv.comun.soc y personales (110)",60,,15,15,2,2,,,4,22,,,
"Hogares privados con servicio doméstico (111)",15,,,,,,,,,15,,,
"Actividad economica no especificada (113)",69,,1,1,6,,,,,1,,60,
"Desocupado (114)",187,,,,,,,,,,,,187
"Mujeres (115)",2281,3,225,77,56,834,210,69,22,575,2,122,86
"Agric., ganadería, caza y silvicultura (116)",409,,1,2,,,210,,,196,,,
"Explotación de minas y canteras (118)",1,,,,,,,,,1,,,
"Industrias manufactureras (119)",83,,,2,2,4,,63,12,,,,
"Suministro de electricidad, gas y agua (120)",1,,,,,,,1,,,,,
"Construcción (121)",11,,,3,,,,,5,3,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (122)",719,,1,5,1,606,,4,,102,,,
"Venta, mant.y rep. veh.autom.y motoc. (123)",9,,,1,,6,,2,,,,,
"Comercio al por mayor (124)",22,,,1,,21,,,,,,,
"Comercio al por menor (125)",688,,1,3,1,579,,2,,102,,,
"Hoteles y restaurantes (126)",345,,2,5,,200,,,,138,,,
"Trans., almac. y comunicaciones (127)",42,,,7,5,7,,,5,18,,,
"Intermediación financiera (128)",3,,,1,1,1,,,,,,,
"Activid.inmobil., empres. y alquileres (129)",29,,13,4,3,1,,,,8,,,
"Admin.pub. y defensa; p. segur.soc.afil (130)",65,3,5,1,38,5,,,,11,2,,
"Enseñanza (131)",193,,186,2,2,,,,,3,,,
"Servicios sociales y de salud (132)",52,,8,39,1,1,,,,3,,,
"Otras activ. serv.comun.soc y personales (133)",50,,8,6,2,9,,1,,24,,,
"Hogares privados con servicio doméstico (134)",68,,,,,,,,,68,,,
"Actividad economica no especificada (136)",124,,1,,1,,,,,,,122,
"Desocupado (137)",86,,,,,,,,,,,,86
,,,,,,,,,,,,,
"RURAL (138)",10460,9,180,93,93,446,5490,281,640,2677,5,282,264
"Agric., ganadería, caza y silvicultura (139)",7502,,6,15,,,5489,1,17,1974,,,
"Pesca (140)",1,,,,,,1,,,,,,
"Explotación de minas y canteras (141)",10,,,1,,,,2,,7,,,
"Industrias manufactureras (142)",224,,,7,1,,,192,20,4,,,
"Suministro de electricidad, gas y agua (143)",10,,,1,,,,2,2,5,,,
"Construcción (144)",532,,1,2,1,,,8,302,218,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (145)",515,,,11,1,330,,74,4,95,,,
"Venta, mant.y rep. veh.autom.y motoc. (146)",83,,,1,,14,,65,2,1,,,
"Comercio al por mayor (147)",16,,,2,1,13,,,,,,,
