"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia HUANTA (000)",22710,410,9485,6798,2264,817,338,130,22,,2446
"Catolica (001)",15878,275,6470,4745,1682,599,264,95,14,,1734
"Cristiana / Evangelica (002)",6538,129,2903,1981,544,204,68,34,7,,668
"Otra (003)",112,2,39,32,11,8,3,,,,17
"Ninguna (004)",182,4,73,40,27,6,3,1,1,,27
,,,,,,,,,,,
"URBANA (006)",10560,191,4146,3063,1165,441,183,70,13,,1288
"Catolica (007)",7998,134,3036,2347,931,341,147,55,9,,998
"Cristiana / Evangelica (008)",2373,52,1045,662,211,91,32,15,3,,262
"Otra (009)",79,1,28,25,6,5,2,,,,12
"Ninguna (010)",110,4,37,29,17,4,2,,1,,16
,,,,,,,,,,,
"RURAL (012)",12150,219,5339,3735,1099,376,155,60,9,,1158
"Catolica (013)",7880,141,3434,2398,751,258,117,40,5,,736
"Cristiana / Evangelica (014)",4165,77,1858,1319,333,113,36,19,4,,406
"Otra (015)",33,1,11,7,5,3,1,,,,5
"Ninguna (016)",72,,36,11,10,2,1,1,,,11
