"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia HUANCANE (000)",1022,527,495
"Sin nivel (001)",34,3,31
"Primaria (003)",191,69,122
"Secundaria (004)",555,325,230
"Superior no univ. incompleta (005)",40,18,22
"Superior no univ. completa (006)",119,66,53
"Superior univ. incompleta (007)",15,8,7
"Superior univ. completa (008)",68,38,30
"De 14 a 29 años (010)",537,363,174
"Sin nivel (011)",3,,3
"Primaria (013)",39,33,6
"Secundaria (014)",351,242,109
"Superior no univ. incompleta (015)",24,14,10
"Superior no univ. completa (016)",68,44,24
"Superior univ. incompleta (017)",9,4,5
"Superior univ. completa (018)",43,26,17
"De 30 a 44 años (020)",305,143,162
"Sin nivel (021)",4,1,3
"Primaria (023)",59,29,30
"Secundaria (024)",158,72,86
"Superior no univ. incompleta (025)",15,4,11
"Superior no univ. completa (026)",45,22,23
"Superior univ. incompleta (027)",5,4,1
"Superior univ. completa (028)",19,11,8
"De 45 a 64 años (030)",132,21,111
"Sin nivel (031)",13,2,11
"Primaria (033)",65,7,58
"Secundaria (034)",40,11,29
"Superior no univ. incompleta (035)",1,,1
"Superior no univ. completa (036)",6,,6
"Superior univ. incompleta (037)",1,,1
"Superior univ. completa (038)",6,1,5
"De 65 y más años (040)",48,,48
"Sin nivel (041)",14,,14
"Primaria (043)",28,,28
"Secundaria (044)",6,,6
,,,
"AREA URBANA (050)",408,187,221
"Sin nivel (051)",15,1,14
"Primaria (053)",51,15,36
"Secundaria (054)",208,112,96
"Superior no univ. incompleta (055)",28,12,16
"Superior no univ. completa (056)",57,24,33
"Superior univ. incompleta (057)",10,5,5
"Superior univ. completa (058)",39,18,21
"De 14 a 29 años (060)",221,130,91
"Primaria (063)",9,6,3
"Secundaria (064)",131,83,48
"Superior no univ. incompleta (065)",18,11,7
"Superior no univ. completa (066)",31,15,16
"Superior univ. incompleta (067)",6,3,3
"Superior univ. completa (068)",26,12,14
"De 30 a 44 años (070)",121,48,73
"Sin nivel (071)",4,1,3
"Primaria (073)",13,6,7
"Secundaria (074)",60,23,37
"Superior no univ. incompleta (075)",9,1,8
"Superior no univ. completa (076)",23,9,14
"Superior univ. incompleta (077)",3,2,1
"Superior univ. completa (078)",9,6,3
"De 45 a 64 años (080)",52,9,43
"Sin nivel (081)",6,,6
"Primaria (083)",23,3,20
"Secundaria (084)",14,6,8
"Superior no univ. incompleta (085)",1,,1
"Superior no univ. completa (086)",3,,3
"Superior univ. incompleta (087)",1,,1
"Superior univ. completa (088)",4,,4
"De 65 y más años (090)",14,,14
"Sin nivel (091)",5,,5
"Primaria (093)",6,,6
"Secundaria (094)",3,,3
,,,
"AREA RURAL (100)",614,340,274
"Sin nivel (101)",19,2,17
"Primaria (103)",140,54,86
"Secundaria (104)",347,213,134
"Superior no univ. incompleta (105)",12,6,6
"Superior no univ. completa (106)",62,42,20
"Superior univ. incompleta (107)",5,3,2
"Superior univ. completa (108)",29,20,9
"De 14 a 29 años (110)",316,233,83
"Sin nivel (111)",3,,3
"Primaria (113)",30,27,3
"Secundaria (114)",220,159,61
"Superior no univ. incompleta (115)",6,3,3
"Superior no univ. completa (116)",37,29,8
"Superior univ. incompleta (117)",3,1,2
"Superior univ. completa (118)",17,14,3
"De 30 a 44 años (120)",184,95,89
"Primaria (123)",46,23,23
"Secundaria (124)",98,49,49
"Superior no univ. incompleta (125)",6,3,3
"Superior no univ. completa (126)",22,13,9
"Superior univ. incompleta (127)",2,2,
"Superior univ. completa (128)",10,5,5
"De 45 a 64 años (130)",80,12,68
"Sin nivel (131)",7,2,5
"Primaria (133)",42,4,38
"Secundaria (134)",26,5,21
"Superior no univ. completa (136)",3,,3
"Superior univ. completa (138)",2,1,1
"De 65 y más años (140)",34,,34
"Sin nivel (141)",9,,9
"Primaria (143)",22,,22
"Secundaria (144)",3,,3
