"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia PAITA (000)",65672,63735,1937
"Hombres (001)",32946,32079,867
"Mujeres (002)",32726,31656,1070
"De 18 a 29 años (003)",23765,22711,1054
"Hombres (004)",11762,11198,564
"Mujeres (005)",12003,11513,490
"De 30 a 44 años (006)",22048,21837,211
"Hombres (007)",10918,10819,99
"Mujeres (008)",11130,11018,112
"De 45 a 64 años (009)",14325,14076,249
"Hombres (010)",7370,7263,107
"Mujeres (011)",6955,6813,142
"De 65 y más años (012)",5534,5111,423
"Hombres (013)",2896,2799,97
"Mujeres (014)",2638,2312,326
,,,
"URBANA (015)",62696,60869,1827
"Hombres (016)",31351,30536,815
"Mujeres (017)",31345,30333,1012
"De 18 a 29 años (018)",22720,21716,1004
"Hombres (019)",11232,10699,533
"Mujeres (020)",11488,11017,471
"De 30 a 44 años (021)",21083,20885,198
"Hombres (022)",10378,10285,93
"Mujeres (023)",10705,10600,105
"De 45 a 64 años (024)",13661,13428,233
"Hombres (025)",7013,6912,101
"Mujeres (026)",6648,6516,132
"De 65 y más años (027)",5232,4840,392
"Hombres (028)",2728,2640,88
"Mujeres (029)",2504,2200,304
,,,
"RURAL (030)",2976,2866,110
"Hombres (031)",1595,1543,52
"Mujeres (032)",1381,1323,58
"De 18 a 29 años (033)",1045,995,50
"Hombres (034)",530,499,31
"Mujeres (035)",515,496,19
"De 30 a 44 años (036)",965,952,13
"Hombres (037)",540,534,6
"Mujeres (038)",425,418,7
"De 45 a 64 años (039)",664,648,16
"Hombres (040)",357,351,6
"Mujeres (041)",307,297,10
"De 65 y más años (042)",302,271,31
"Hombres (043)",168,159,9
"Mujeres (044)",134,112,22
