"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia RECUAY (000)",496,136,360
"De 14 a 29 años (001)",226,99,127
"De 30 a 44 años (002)",145,26,119
"De 45 a 64 años (003)",105,11,94
"De 65 y más años (004)",20,,20
"Hombres (005)",404,99,305
"De 14 a 29 años (006)",174,71,103
"De 30 a 44 años (007)",122,20,102
"De 45 a 64 años (008)",89,8,81
"De 65 y más años (009)",19,,19
"Mujeres (010)",92,37,55
"De 14 a 29 años (011)",52,28,24
"De 30 a 44 años (012)",23,6,17
"De 45 a 64 años (013)",16,3,13
"De 65 y más años (014)",1,,1
,,,
"AREA URBANA (015)",316,87,229
"De 14 a 29 años (016)",135,59,76
"De 30 a 44 años (017)",93,18,75
"De 45 a 64 años (018)",72,10,62
"De 65 y más años (019)",16,,16
"Hombres (020)",251,64,187
"De 14 a 29 años (021)",104,44,60
"De 30 a 44 años (022)",75,13,62
"De 45 a 64 años (023)",57,7,50
"De 65 y más años (024)",15,,15
"Mujeres (025)",65,23,42
"De 14 a 29 años (026)",31,15,16
"De 30 a 44 años (027)",18,5,13
"De 45 a 64 años (028)",15,3,12
"De 65 y más años (029)",1,,1
,,,
"AREA RURAL (030)",180,49,131
"De 14 a 29 años (031)",91,40,51
"De 30 a 44 años (032)",52,8,44
"De 45 a 64 años (033)",33,1,32
"De 65 y más años (034)",4,,4
"Hombres (035)",153,35,118
"De 14 a 29 años (036)",70,27,43
"De 30 a 44 años (037)",47,7,40
"De 45 a 64 años (038)",32,1,31
"De 65 y más años (039)",4,,4
"Mujeres (040)",27,14,13
"De 14 a 29 años (041)",21,13,8
"De 30 a 44 años (042)",5,1,4
"De 45 a 64 años (043)",1,,1
