"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia OCROS (000)",3528,2967,276,138,147
"Sin nivel (001)",158,145,10,1,2
"Educación inicial (002)",2,2,,,
"Primaria (003)",1342,1227,73,29,13
"Secundaria (004)",1362,1168,105,42,47
"Superior no univ. incompleta (005)",146,109,22,4,11
"Superior no univ. completa (006)",173,125,11,18,19
"Superior univ. incompleta (007)",99,68,15,7,9
"Superior univ. completa (008)",246,123,40,37,46
"De 06 a 14 años (010)",46,40,4,1,1
"Educación inicial (012)",1,1,,,
"Primaria (013)",29,28,1,,
"Secundaria (014)",16,11,3,1,1
"De 15 a 29 años (020)",981,807,85,47,42
"Sin nivel (021)",7,7,,,
"Primaria (023)",204,185,8,8,3
"Secundaria (024)",561,470,51,23,17
"Superior no univ. incompleta (025)",57,44,9,,4
"Superior no univ. completa (026)",56,38,5,4,9
"Superior univ. incompleta (027)",48,39,7,1,1
"Superior univ. completa (028)",48,24,5,11,8
"De 30 a 44 años (030)",1073,846,104,60,63
"Sin nivel (031)",47,41,4,1,1
"Educación inicial (032)",1,1,,,
"Primaria (033)",331,293,23,10,5
"Secundaria (034)",418,358,31,15,14
"Superior no univ. incompleta (035)",55,37,9,4,5
"Superior no univ. completa (036)",76,52,4,11,9
"Superior univ. incompleta (037)",37,20,7,4,6
"Superior univ. completa (038)",108,44,26,15,23
"De 45 a 64 años (040)",1036,905,67,28,36
"Sin nivel (041)",62,58,4,,
"Primaria (043)",504,461,29,10,4
"Secundaria (044)",321,285,19,3,14
"Superior no univ. incompleta (045)",26,21,3,,2
"Superior no univ. completa (046)",31,25,2,3,1
"Superior univ. incompleta (047)",11,7,1,1,2
"Superior univ. completa (048)",81,48,9,11,13
"De 65 y más años (050)",392,369,16,2,5
"Sin nivel (051)",42,39,2,,1
"Primaria (053)",274,260,12,1,1
"Secundaria (054)",46,44,1,,1
"Superior no univ. incompleta (055)",8,7,1,,
"Superior no univ. completa (056)",10,10,,,
"Superior univ. incompleta (057)",3,2,,1,
"Superior univ. completa (058)",9,7,,,2
,,,,,
"URBANA (060)",2130,1735,164,102,129
"Sin nivel (061)",73,68,3,,2
"Educación inicial (062)",2,2,,,
"Primaria (063)",758,688,36,22,12
