"CUADRO Nº 4: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ENERGÍA O COMBUSTIBLE QUE MÁS UTILIZAN EN EL HOGAR PARA COCINAR SUS ALIMENTOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ENERGÍA O COMBUSTIBLE QUE MÁS UTILIZA PARA COCINAR",,,,,,,"NO COCINAN"
,,ELECTRICIDAD,GAS,KEROSENE,CARBÓN,LEÑA,"BOSTA, ESTIÉRCOL",OTRO,
,,,,,,,,,
"Provincia BOLOGNESI",,,,,,,,,
"Hogares (001)",7740,19,1245,37,406,5495,360,11,167
"Ocupantes presentes (002)",28835,58,4487,105,1846,20615,1333,40,351
"Casa independiente",,,,,,,,,
"Hogares (004)",6995,18,1198,37,288,5164,123,8,159
"Ocupantes presentes (005)",26121,57,4300,105,1356,19486,459,28,330
"Departamento en edificio",,,,,,,,,
"Hogares (007)",3,,1,,,,,,2
"Ocupantes presentes (008)",20,,11,,,,,,9
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",26,,26,,,,,,
"Ocupantes presentes (011)",109,,109,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",51,,11,,10,28,,,2
"Ocupantes presentes (014)",202,,42,,47,109,,,4
"Choza o cabaña",,,,,,,,,
"Hogares (016)",647,,3,,107,296,237,3,1
"Ocupantes presentes (017)",2327,,8,,440,992,874,12,1
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",15,,5,,1,6,,,3
"Ocupantes presentes (023)",43,,12,,3,21,,,7
"Otro tipo",,,,,,,,,
"Hogares (025)",3,1,1,,,1,,,
"Ocupantes presentes (026)",13,1,5,,,7,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",4957,17,1138,35,208,3400,4,6,149
"Ocupantes presentes (029)",18577,56,4109,94,1031,12941,11,18,317
"Casa independiente",,,,,,,,,
"Hogares (031)",4865,17,1095,35,197,3367,4,6,144
"Ocupantes presentes (032)",18207,56,3935,94,981,12812,11,18,300
"Departamento en edificio",,,,,,,,,
"Hogares (034)",3,,1,,,,,,2
"Ocupantes presentes (035)",20,,11,,,,,,9
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",26,,26,,,,,,
"Ocupantes presentes (038)",109,,109,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",51,,11,,10,28,,,2
"Ocupantes presentes (041)",202,,42,,47,109,,,4
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",12,,5,,1,5,,,1
"Ocupantes presentes (050)",39,,12,,3,20,,,4
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",2783,2,107,2,198,2095,356,5,18
"Ocupantes presentes (056)",10258,2,378,11,815,7674,1322,22,34
"Casa independiente",,,,,,,,,
"Hogares (058)",2130,1,103,2,91,1797,119,2,15
"Ocupantes presentes (059)",7914,1,365,11,375,6674,448,10,30
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",647,,3,,107,296,237,3,1
"Ocupantes presentes (071)",2327,,8,,440,992,874,12,1
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",3,,,,,1,,,2
"Ocupantes presentes (077)",4,,,,,1,,,3
"Otro tipo",,,,,,,,,
"Hogares (079)",3,1,1,,,1,,,
"Ocupantes presentes (080)",13,1,5,,,7,,,
