"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia ICA (000)",286095,53431,91110,66293,51270,23991
"Hombres (001)",139169,27140,44863,31455,24121,11590
"Mujeres (002)",146926,26291,46247,34838,27149,12401
"PEA (003)",135303,1209,47528,49388,32394,4784
"Hombres (004)",83850,817,29540,29245,20565,3683
"Mujeres (005)",51453,392,17988,20143,11829,1101
"Ocupada (006)",129962,1159,44750,47885,31554,4614
"Hombres (007)",80799,784,28041,28430,20006,3538
"Mujeres (008)",49163,375,16709,19455,11548,1076
"Desocupada (009)",5341,50,2778,1503,840,170
"Hombres (010)",3051,33,1499,815,559,145
"Mujeres (011)",2290,17,1279,688,281,25
"No PEA (012)",150792,52222,43582,16905,18876,19207
"Hombres (013)",55319,26323,15323,2210,3556,7907
"Mujeres (014)",95473,25899,28259,14695,15320,11300
,,,,,,
"URBANA (018)",261724,49184,83191,60807,46996,21546
"Hombres (019)",126682,24982,40762,28677,21964,10297
"Mujeres (020)",135042,24202,42429,32130,25032,11249
"PEA (021)",123416,1153,42809,45389,29825,4240
"Hombres (022)",75635,778,26421,26589,18645,3202
"Mujeres (023)",47781,375,16388,18800,11180,1038
"Ocupada (024)",118522,1109,40249,44007,29063,4094
"Hombres (025)",72860,748,25032,25851,18151,3078
"Mujeres (026)",45662,361,15217,18156,10912,1016
"Desocupada (027)",4894,44,2560,1382,762,146
"Hombres (028)",2775,30,1389,738,494,124
"Mujeres (029)",2119,14,1171,644,268,22
"No PEA (030)",138308,48031,40382,15418,17171,17306
"Hombres (031)",51047,24204,14341,2088,3319,7095
"Mujeres (032)",87261,23827,26041,13330,13852,10211
,,,,,,
"RURAL (036)",24371,4247,7919,5486,4274,2445
"Hombres (037)",12487,2158,4101,2778,2157,1293
"Mujeres (038)",11884,2089,3818,2708,2117,1152
"PEA (039)",11887,56,4719,3999,2569,544
"Hombres (040)",8215,39,3119,2656,1920,481
"Mujeres (041)",3672,17,1600,1343,649,63
"Ocupada (042)",11440,50,4501,3878,2491,520
"Hombres (043)",7939,36,3009,2579,1855,460
"Mujeres (044)",3501,14,1492,1299,636,60
"Desocupada (045)",447,6,218,121,78,24
"Hombres (046)",276,3,110,77,65,21
"Mujeres (047)",171,3,108,44,13,3
"No PEA (048)",12484,4191,3200,1487,1705,1901
"Hombres (049)",4272,2119,982,122,237,812
"Mujeres (050)",8212,2072,2218,1365,1468,1089
