"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia LUYA (000)",48328,1000,16944,11270,8382,6835,3897
"Hombres (001)",24968,517,8660,6053,4419,3497,1822
"Mujeres (002)",23360,483,8284,5217,3963,3338,2075
"Viviendas particulares (003)",48151,999,16898,11209,8339,6812,3894
"Hombres (004)",24862,516,8639,6014,4390,3484,1819
"Mujeres (005)",23289,483,8259,5195,3949,3328,2075
"Viviendas colectivas (006)",113,,36,43,22,12,
"Hombres (007)",64,,16,26,15,7,
"Mujeres (008)",49,,20,17,7,5,
"Otro tipo (009)",64,1,10,18,21,11,3
"Hombres (010)",42,1,5,13,14,6,3
"Mujeres (011)",22,,5,5,7,5,
,,,,,,,
"URBANA (012)",19526,339,6338,4406,3594,2956,1893
"Hombres (013)",9715,166,3217,2266,1801,1470,795
"Mujeres (014)",9811,173,3121,2140,1793,1486,1098
"Viviendas particulares (015)",19349,338,6292,4345,3551,2933,1890
"Hombres (016)",9609,165,3196,2227,1772,1457,792
"Mujeres (017)",9740,173,3096,2118,1779,1476,1098
"Viviendas colectivas (018)",113,,36,43,22,12,
"Hombres (019)",64,,16,26,15,7,
"Mujeres (020)",49,,20,17,7,5,
"Otro tipo (021)",64,1,10,18,21,11,3
"Hombres (022)",42,1,5,13,14,6,3
"Mujeres (023)",22,,5,5,7,5,
,,,,,,,
"RURAL (024)",28802,661,10606,6864,4788,3879,2004
"Hombres (025)",15253,351,5443,3787,2618,2027,1027
"Mujeres (026)",13549,310,5163,3077,2170,1852,977
"Viviendas particulares (027)",28802,661,10606,6864,4788,3879,2004
"Hombres (028)",15253,351,5443,3787,2618,2027,1027
"Mujeres (029)",13549,310,5163,3077,2170,1852,977
