"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia RECUAY (000)",7865,6623,1242
"De 3 a 5 años (001)",1113,107,1006
"De 6 a 11 años (002)",2220,2041,179
"De 12 a 16 años (003)",1965,1942,23
"De 17 a 24 años (004)",2567,2533,34
"Hombres (005)",4042,3413,629
"De 3 a 5 años (006)",568,48,520
"De 6 a 11 años (007)",1110,1022,88
"De 12 a 16 años (008)",1035,1022,13
"De 17 a 24 años (009)",1329,1321,8
"Mujeres (010)",3823,3210,613
"De 3 a 5 años (011)",545,59,486
"De 6 a 11 años (012)",1110,1019,91
"De 12 a 16 años (013)",930,920,10
"De 17 a 24 años (014)",1238,1212,26
,,,
"URBANA (015)",4364,3725,639
"De 3 a 5 años (016)",602,71,531
"De 6 a 11 años (017)",1236,1151,85
"De 12 a 16 años (018)",1062,1052,10
"De 17 a 24 años (019)",1464,1451,13
"Hombres (020)",2247,1917,330
"De 3 a 5 años (021)",314,33,281
"De 6 a 11 años (022)",619,579,40
"De 12 a 16 años (023)",559,553,6
"De 17 a 24 años (024)",755,752,3
"Mujeres (025)",2117,1808,309
"De 3 a 5 años (026)",288,38,250
"De 6 a 11 años (027)",617,572,45
"De 12 a 16 años (028)",503,499,4
"De 17 a 24 años (029)",709,699,10
,,,
"RURAL (030)",3501,2898,603
"De 3 a 5 años (031)",511,36,475
"De 6 a 11 años (032)",984,890,94
"De 12 a 16 años (033)",903,890,13
"De 17 a 24 años (034)",1103,1082,21
"Hombres (035)",1795,1496,299
"De 3 a 5 años (036)",254,15,239
"De 6 a 11 años (037)",491,443,48
"De 12 a 16 años (038)",476,469,7
"De 17 a 24 años (039)",574,569,5
"Mujeres (040)",1706,1402,304
"De 3 a 5 años (041)",257,21,236
"De 6 a 11 años (042)",493,447,46
"De 12 a 16 años (043)",427,421,6
"De 17 a 24 años (044)",529,513,16
