"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia SAN PABLO (000)",5923,172,1825,1981,1455,490
"Agric., ganadería, caza y silvicultura (001)",3967,139,1246,1199,984,399
"Explotación de minas y canteras (003)",13,,5,5,2,1
"Industrias manufactureras (004)",340,14,122,111,76,17
"Suministro de electricidad, gas y agua (005)",6,,2,3,1,
"Construcción (006)",227,,76,84,52,15
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",269,11,64,93,75,26
"Venta, mant.y rep. veh.autom.y motoc. (008)",17,,12,3,1,1
"Comercio al por mayor (009)",6,,,3,2,1
"Comercio al por menor (010)",246,11,52,87,72,24
"Hoteles y restaurantes (011)",65,1,19,20,20,5
"Trans., almac. y comunicaciones (012)",114,,45,42,24,3
"Intermediación financiera (013)",1,,,1,,
"Activid.inmobil., empres. y alquileres (014)",38,,15,13,10,
"Admin.pub. y defensa; p. segur.soc.afil (015)",111,,30,46,33,2
"Enseñanza (016)",471,,89,267,113,2
"Servicios sociales y de salud (017)",49,,10,26,13,
"Otras activ. serv.comun.soc y personales (018)",46,3,16,18,9,
"Hogares privados con servicio doméstico (019)",75,4,35,18,14,4
"Actividad economica no especificada (021)",131,,51,35,29,16
"Hombres (022)",4604,95,1419,1495,1170,425
"Agric., ganadería, caza y silvicultura (023)",3470,85,1091,1047,874,373
"Explotación de minas y canteras (025)",13,,5,5,2,1
"Industrias manufactureras (026)",177,,57,61,45,14
"Suministro de electricidad, gas y agua (027)",6,,2,3,1,
"Construcción (028)",222,,74,82,52,14
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",131,8,31,45,32,15
"Venta, mant.y rep. veh.autom.y motoc. (030)",15,,10,3,1,1
"Comercio al por mayor (031)",4,,,2,2,
"Comercio al por menor (032)",112,8,21,40,29,14
"Hoteles y restaurantes (033)",13,,7,2,4,
"Trans., almac. y comunicaciones (034)",111,,43,41,24,3
"Intermediación financiera (035)",1,,,1,,
"Activid.inmobil., empres. y alquileres (036)",25,,11,7,7,
"Admin.pub. y defensa; p. segur.soc.afil (037)",91,,24,36,29,2
"Enseñanza (038)",249,,41,132,76,
"Servicios sociales y de salud (039)",30,,5,16,9,
"Otras activ. serv.comun.soc y personales (040)",31,1,13,12,5,
"Hogares privados con servicio doméstico (041)",4,1,2,,1,
"Actividad economica no especificada (043)",30,,13,5,9,3
"Mujeres (045)",1319,77,406,486,285,65
