"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia MARISCAL LUZURIAGA (000)",21645,6507,830,7998,4072,577,943,287,431
"Quechua (001)",19687,6101,674,7355,3710,496,800,227,324
"Aymara (002)",19,13,,4,1,,1,,
"Ashaninca (003)",1,,,,1,,,,
"Otra lengua nativa (004)",1,,,1,,,,,
"Castellano (005)",1841,309,154,632,359,81,141,60,105
"Idioma extranjero (006)",1,,,,,,,,1
"Es sordomudo/a (007)",95,84,2,6,1,,1,,1
"Hombres (009)",10624,2357,396,4149,2283,345,597,188,309
"Quechua (010)",9603,2149,321,3823,2108,303,510,149,240
"Aymara (011)",8,4,,2,1,,1,,
"Ashaninca (012)",1,,,,1,,,,
"Castellano (014)",961,160,74,322,172,42,85,39,67
"Idioma extranjero (015)",1,,,,,,,,1
"Es sordomudo/a (016)",50,44,1,2,1,,1,,1
"Mujeres (018)",11021,4150,434,3849,1789,232,346,99,122
"Quechua (019)",10084,3952,353,3532,1602,193,290,78,84
"Aymara (020)",11,9,,2,,,,,
"Otra lengua nativa (022)",1,,,1,,,,,
"Castellano (023)",880,149,80,310,187,39,56,21,38
"Es sordomudo/a (025)",45,40,1,4,,,,,
,,,,,,,,,
"URBANA (027)",2731,446,77,721,611,211,370,88,207
"Quechua (028)",1846,336,35,471,411,148,278,48,119
"Aymara (029)",1,1,,,,,,,
"Ashaninca (030)",1,,,,1,,,,
"Castellano (032)",878,105,42,250,199,63,92,40,87
"Idioma extranjero (033)",1,,,,,,,,1
"Es sordomudo/a (034)",4,4,,,,,,,
"Hombres (036)",1373,152,43,321,337,112,209,54,145
"Quechua (037)",917,98,21,211,234,78,158,29,88
"Ashaninca (039)",1,,,,1,,,,
"Castellano (041)",452,52,22,110,102,34,51,25,56
"Idioma extranjero (042)",1,,,,,,,,1
"Es sordomudo/a (043)",2,2,,,,,,,
"Mujeres (045)",1358,294,34,400,274,99,161,34,62
"Quechua (046)",929,238,14,260,177,70,120,19,31
"Aymara (047)",1,1,,,,,,,
"Castellano (050)",426,53,20,140,97,29,41,15,31
"Es sordomudo/a (052)",2,2,,,,,,,
,,,,,,,,,
"RURAL (054)",18914,6061,753,7277,3461,366,573,199,224
"Quechua (055)",17841,5765,639,6884,3299,348,522,179,205
"Aymara (056)",18,12,,4,1,,1,,
"Otra lengua nativa (058)",1,,,1,,,,,
"Castellano (059)",963,204,112,382,160,18,49,20,18
"Es sordomudo/a (061)",91,80,2,6,1,,1,,1
"Hombres (063)",9251,2205,353,3828,1946,233,388,134,164
"Quechua (064)",8686,2051,300,3612,1874,225,352,120,152
"Aymara (065)",8,4,,2,1,,1,,
"Castellano (068)",509,108,52,212,70,8,34,14,11
"Es sordomudo/a (070)",48,42,1,2,1,,1,,1
"Mujeres (072)",9663,3856,400,3449,1515,133,185,65,60
"Quechua (073)",9155,3714,339,3272,1425,123,170,59,53
"Aymara (074)",10,8,,2,,,,,
"Otra lengua nativa (076)",1,,,1,,,,,
"Castellano (077)",454,96,60,170,90,10,15,6,7
"Es sordomudo/a (079)",43,38,1,4,,,,,
