"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CUTERVO (000)",128521,24141,3935,69910,24001,1455,3043,685,1351
"Jefe o Jefa (001)",31602,5938,22,18595,4573,359,1273,186,656
"Esposa(o)/ compa¤era(o) (002)",21818,5836,36,12398,2478,163,602,73,232
"Hijo(a)/ hijastro(a) (003)",57480,8521,3060,30354,13588,648,734,315,260
"Yerno/ nuera (004)",1776,118,1,909,539,37,120,20,32
"Nieto(a) (005)",6972,1426,576,3722,1136,52,29,23,8
"Padres/ suegros (006)",1087,693,,350,31,3,8,1,1
"Otro(a) pariente (007)",6597,1485,225,3195,1322,105,158,42,65
"Trabajador(a) del hogar (008)",197,18,1,106,66,1,4,1,
"Pensionista (009)",97,1,,7,25,19,33,,12
"Otro(a) no pariente (010)",895,105,14,274,243,68,82,24,85
"Hombres (012)",64431,8634,2060,36025,14016,818,1653,432,793
"Jefe o Jefa (013)",24030,2745,19,15421,3911,273,969,159,533
"Esposa(o)/ compa¤era(o) (014)",1210,159,3,664,276,15,57,10,26
"Hijo(a)/ hijastro(a) (015)",30629,4183,1607,15775,8007,357,381,193,126
"Yerno/ nuera (016)",700,31,,323,222,18,76,12,18
"Nieto(a) (017)",3590,706,308,1855,651,36,14,17,3
"Padres/ suegros (018)",315,115,,177,16,2,5,,
"Otro(a) pariente (019)",3388,644,117,1652,773,64,79,27,32
"Trabajador(a) del hogar (020)",13,2,,4,7,,,,
"Pensionista (021)",62,,,6,17,10,20,,9
"Otro(a) no pariente (022)",494,49,6,148,136,43,52,14,46
"Mujeres (024)",64090,15507,1875,33885,9985,637,1390,253,558
"Jefe o Jefa (025)",7572,3193,3,3174,662,86,304,27,123
"Esposa(o)/ compa¤era(o) (026)",20608,5677,33,11734,2202,148,545,63,206
"Hijo(a)/ hijastro(a) (027)",26851,4338,1453,14579,5581,291,353,122,134
"Yerno/ nuera (028)",1076,87,1,586,317,19,44,8,14
"Nieto(a) (029)",3382,720,268,1867,485,16,15,6,5
"Padres/ suegros (030)",772,578,,173,15,1,3,1,1
"Otro(a) pariente (031)",3209,841,108,1543,549,41,79,15,33
"Trabajador(a) del hogar (032)",184,16,1,102,59,1,4,1,
"Pensionista (033)",35,1,,1,8,9,13,,3
"Otro(a) no pariente (034)",401,56,8,126,107,25,30,10,39
,,,,,,,,,
"URBANA (036)",25021,2848,699,9486,7053,1004,2351,509,1071
"Jefe o Jefa (037)",6799,698,8,2652,1573,256,961,145,506
"Esposa(o)/ compa¤era(o) (038)",4124,538,10,1695,982,130,524,58,187
"Hijo(a)/ hijastro(a) (039)",9703,1003,504,3643,3194,395,535,219,210
"Yerno/ nuera (040)",418,7,,93,162,22,93,15,26
"Nieto(a) (041)",1360,226,132,590,323,37,26,19,7
"Padres/ suegros (042)",272,133,,112,15,3,7,1,1
"Otro(a) pariente (043)",1538,181,37,450,553,90,137,34,56
"Trabajador(a) del hogar (044)",162,11,1,84,60,1,4,1,
"Pensionista (045)",45,1,,4,16,14,4,,6
