"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia CHANCHAMAYO (000)",41934,23513,18421
"Red pública dentro de la vivienda (001)",14758,13567,1191
"Red pública fuera de la vivienda (002)",3542,3049,493
"Pilón de uso público (003)",1052,549,503
"Camión - cisterna u otro similar (004)",37,15,22
"Pozo (005)",2092,581,1511
"Río, acequia, manatial o similar (006)",18601,4800,13801
"Vecino (007)",1024,450,574
"Otro (008)",828,502,326
,,,
"URBANA (010)",22733,19405,3328
"Red pública dentro de la vivienda (011)",13388,12605,783
"Red pública fuera de la vivienda (012)",2749,2491,258
"Pilón de uso público (013)",529,349,180
"Camión - cisterna u otro similar (014)",17,10,7
"Pozo (015)",865,440,425
"Río, acequia, manatial o similar (016)",3921,2741,1180
"Vecino (017)",629,329,300
"Otro (018)",635,440,195
,,,
"RURAL (020)",19201,4108,15093
"Red pública dentro de la vivienda (021)",1370,962,408
"Red pública fuera de la vivienda (022)",793,558,235
"Pilón de uso público (023)",523,200,323
"Camión - cisterna u otro similar (024)",20,5,15
"Pozo (025)",1227,141,1086
"Río, acequia, manatial o similar (026)",14680,2059,12621
"Vecino (027)",395,121,274
"Otro (028)",193,62,131
