"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia HUAYTARA (000)",6057,89,2454,1979,631,245,86,28,3,,542
"Catolica (001)",5074,74,1977,1703,531,217,81,22,3,,466
"Cristiana / Evangelica (002)",947,14,466,263,96,24,5,5,,,74
"Otra (003)",15,,4,5,3,2,,1,,,
"Ninguna (004)",21,1,7,8,1,2,,,,,2
,,,,,,,,,,,
"URBANA (006)",1830,24,666,592,212,106,39,10,1,,180
"Catolica (007)",1608,20,576,530,180,94,36,9,1,,162
"Cristiana / Evangelica (008)",203,3,85,55,28,10,3,1,,,18
"Otra (009)",6,,,3,3,,,,,,
"Ninguna (010)",13,1,5,4,1,2,,,,,
,,,,,,,,,,,
"RURAL (012)",4227,65,1788,1387,419,139,47,18,2,,362
"Catolica (013)",3466,54,1401,1173,351,123,45,13,2,,304
"Cristiana / Evangelica (014)",744,11,381,208,68,14,2,4,,,56
"Otra (015)",9,,4,2,,2,,1,,,
"Ninguna (016)",8,,2,4,,,,,,,2
