"CUADRO Nº 8: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR MATERIAL PREDOMINANTE EN LOS PISOS DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"MATERIAL PREDOMINANTE EN LOS PISOS DE LA VIVIENDA",,,,,,
,,TIERRA,CEMENTO,"LOSETAS, TERRAZOS, CERÁMICOS O SIMILARES","PARQUET O MADERA PULIDA","MADERA (PONA, TOR-NILLO, ETC.)","LÁMINAS ASFÁL-TICAS, VINÍLICOS O SIMILARES","OTRO MATERIAL"
,,,,,,,,
"Provincia SAN MARCOS",,,,,,,,
"Viviendas particulares (001)",13061,11433,1545,36,10,28,,9
"Ocupantes presentes (002)",49938,43357,6246,148,39,122,,26
"Casa independiente",,,,,,,,
"Viviendas particulares (004)",12263,10757,1434,27,10,26,,9
"Ocupantes presentes (005)",47108,40946,5862,122,39,113,,26
"Departamento en edificio",,,,,,,,
"Viviendas particulares (007)",21,,18,3,,,,
"Ocupantes presentes (008)",67,,54,13,,,,
"Vivienda en quinta",,,,,,,,
"Viviendas particulares (010)",89,,82,6,,1,,
"Ocupantes presentes (011)",304,,285,13,,6,,
"Vivienda en casa de vecindad",,,,,,,,
"Viviendas particulares (013)",16,10,5,,,1,,
"Ocupantes presentes (014)",55,28,24,,,3,,
"Choza o cabaña",,,,,,,,
"Viviendas particulares (016)",665,660,5,,,,,
"Ocupantes presentes (017)",2379,2360,19,,,,,
"Vivienda improvisada",,,,,,,,
"Viviendas particulares (019)",1,,1,,,,,
"Ocupantes presentes (020)",2,,2,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (022)",6,6,,,,,,
"Ocupantes presentes (023)",23,23,,,,,,
"Otro tipo",,,,,,,,
,,,,,,,,
URBANA,,,,,,,,
"Viviendas particulares (028)",2690,1390,1234,32,6,21,,7
"Ocupantes presentes (029)",10551,5149,5132,131,22,96,,21
"Casa independiente",,,,,,,,
"Viviendas particulares (031)",2562,1379,1128,23,6,19,,7
"Ocupantes presentes (032)",10121,5119,4767,105,22,87,,21
"Departamento en edificio",,,,,,,,
"Viviendas particulares (034)",21,,18,3,,,,
"Ocupantes presentes (035)",67,,54,13,,,,
"Vivienda en quinta",,,,,,,,
"Viviendas particulares (037)",89,,82,6,,1,,
"Ocupantes presentes (038)",304,,285,13,,6,,
"Vivienda en casa de vecindad",,,,,,,,
"Viviendas particulares (040)",16,10,5,,,1,,
"Ocupantes presentes (041)",55,28,24,,,3,,
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Viviendas particulares (046)",1,,1,,,,,
"Ocupantes presentes (047)",2,,2,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (049)",1,1,,,,,,
"Ocupantes presentes (050)",2,2,,,,,,
"Otro tipo",,,,,,,,
,,,,,,,,
RURAL,,,,,,,,
"Viviendas particulares (055)",10371,10043,311,4,4,7,,2
"Ocupantes presentes (056)",39387,38208,1114,17,17,26,,5
"Casa independiente",,,,,,,,
"Viviendas particulares (058)",9701,9378,306,4,4,7,,2
"Ocupantes presentes (059)",36987,35827,1095,17,17,26,,5
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Viviendas particulares (070)",665,660,5,,,,,
"Ocupantes presentes (071)",2379,2360,19,,,,,
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (076)",5,5,,,,,,
"Ocupantes presentes (077)",21,21,,,,,,
"Otro tipo",,,,,,,,
