"CUADRO Nº 19: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HABITACIONES DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HABITACIONES DE LA VIVIENDA",,,,,,,
,,1,2,3,4,5,6,7,"8 Y MÁS"
,,,,,,,,,
"Provincia CONTRALMIRANTE VILLAR",,,,,,,,,
"Viviendas particulares (001)",4113,571,978,1111,806,365,160,60,62
"Ocupantes presentes (002)",16623,1721,3646,4721,3477,1700,782,293,283
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",3996,536,944,1080,794,360,160,60,62
"Ocupantes presentes (005)",16246,1634,3538,4610,3423,1683,782,293,283
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",6,2,1,2,1,,,,
"Ocupantes presentes (008)",15,5,2,5,3,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",15,8,4,2,1,,,,
"Ocupantes presentes (011)",46,21,11,10,4,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",6,1,2,3,,,,,
"Ocupantes presentes (014)",25,3,8,14,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",74,12,24,23,10,5,,,
"Ocupantes presentes (017)",246,29,72,81,47,17,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",1,1,,,,,,,
"Ocupantes presentes (020)",1,1,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",6,2,3,1,,,,,
"Ocupantes presentes (023)",21,5,15,1,,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",9,9,,,,,,,
"Ocupantes presentes (026)",23,23,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",3062,450,748,818,589,249,111,48,49
"Ocupantes presentes (029)",12960,1446,2956,3630,2665,1246,562,242,213
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",3020,427,739,810,587,249,111,48,49
"Ocupantes presentes (032)",12833,1388,2924,3600,2658,1246,562,242,213
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",6,2,1,2,1,,,,
"Ocupantes presentes (035)",15,5,2,5,3,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",15,8,4,2,1,,,,
"Ocupantes presentes (038)",46,21,11,10,4,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",6,1,2,3,,,,,
"Ocupantes presentes (041)",25,3,8,14,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",1,1,,,,,,,
"Ocupantes presentes (047)",1,1,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",5,2,2,1,,,,,
"Ocupantes presentes (050)",17,5,11,1,,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",9,9,,,,,,,
"Ocupantes presentes (053)",23,23,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",1051,121,230,293,217,116,49,12,13
"Ocupantes presentes (056)",3663,275,690,1091,812,454,220,51,70
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",976,109,205,270,207,111,49,12,13
"Ocupantes presentes (059)",3413,246,614,1010,765,437,220,51,70
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",74,12,24,23,10,5,,,
"Ocupantes presentes (071)",246,29,72,81,47,17,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",1,,1,,,,,,
"Ocupantes presentes (077)",4,,4,,,,,,
"Otro tipo",,,,,,,,,
