"CUADRO Nº 15: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia LUYA (000)",15874,1449,1963,8401,666,2732,500,163
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",65,64,,,1,,,
"Profes., científicos e intelectuales (002)",920,861,,52,1,6,,
"Técnicos de nivel medio y trab. asimilados (003)",172,141,,24,5,2,,
"Jefes y empleados de oficina (004)",153,153,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",726,42,7,552,17,108,,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",7525,4,,6914,601,6,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",426,,119,269,13,25,,
"Obreros construc.,conf.,papel, fab., instr. (008)",396,19,168,170,22,17,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",4737,84,1624,115,,2414,500,
"Otra (010)",41,41,,,,,,
"Ocupaciñn no especificada (011)",550,40,45,305,6,154,,
"Desocupado (012)",163,,,,,,,163
"Hombres (013)",12764,753,1693,7392,625,2168,19,114
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",49,49,,,,,,
"Profes., científicos e intelectuales (015)",476,443,,27,1,5,,
"Técnicos de nivel medio y trab. asimilados (016)",90,66,,21,2,1,,
"Jefes y empleados de oficina (017)",71,71,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",256,13,1,213,9,20,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",7293,4,,6705,578,6,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",244,,73,153,11,7,,
"Obreros construc.,conf.,papel, fab., instr. (021)",379,19,161,163,22,14,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (022)",3652,41,1442,51,,2099,19,
"Otra (023)",41,41,,,,,,
"Ocupaciñn no especificada (024)",99,6,16,59,2,16,,
"Desocupado (025)",114,,,,,,,114
"Mujeres (026)",3110,696,270,1009,41,564,481,49
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",16,15,,,1,,,
"Profes., científicos e intelectuales (028)",444,418,,25,,1,,
"Técnicos de nivel medio y trab. asimilados (029)",82,75,,3,3,1,,
"Jefes y empleados de oficina (030)",82,82,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",470,29,6,339,8,88,,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",232,,,209,23,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",182,,46,116,2,18,,
"Obreros construc.,conf.,papel, fab., instr. (034)",17,,7,7,,3,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (035)",1085,43,182,64,,315,481,
"Ocupaciñn no especificada (037)",451,34,29,246,4,138,,
"Desocupado (038)",49,,,,,,,49
,,,,,,,,
"URBANA (039)",6885,1045,896,3438,286,861,259,100
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",58,57,,,1,,,
"Profes., científicos e intelectuales (041)",594,557,,30,1,6,,
"Técnicos de nivel medio y trab. asimilados (042)",133,106,,20,5,2,,
"Jefes y empleados de oficina (043)",138,138,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",554,35,5,422,11,81,,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",2744,,,2504,240,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",257,,80,153,10,14,,
"Obreros construc.,conf.,papel, fab., instr. (047)",266,18,99,126,14,9,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (048)",1791,70,691,83,,688,259,
"Otra (049)",41,41,,,,,,
"Ocupaciñn no especificada (050)",209,23,21,100,4,61,,
"Desocupado (051)",100,,,,,,,100
"Hombres (052)",5049,535,762,2842,262,565,8,75
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",45,45,,,,,,
"Profes., científicos e intelectuales (054)",294,274,,14,1,5,,
"Técnicos de nivel medio y trab. asimilados (055)",69,49,,17,2,1,,
"Jefes y empleados de oficina (056)",62,62,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",185,12,1,149,6,17,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",2628,,,2398,230,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",151,,48,92,8,3,,
"Obreros construc.,conf.,papel, fab., instr. (060)",262,18,99,123,14,8,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (061)",1193,31,602,31,,521,8,
"Otra (062)",41,41,,,,,,
"Ocupaciñn no especificada (063)",44,3,12,18,1,10,,
"Desocupado (064)",75,,,,,,,75
"Mujeres (065)",1836,510,134,596,24,296,251,25
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",13,12,,,1,,,
"Profes., científicos e intelectuales (067)",300,283,,16,,1,,
"Técnicos de nivel medio y trab. asimilados (068)",64,57,,3,3,1,,
"Jefes y empleados de oficina (069)",76,76,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",369,23,4,273,5,64,,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",116,,,106,10,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",106,,32,61,2,11,,
"Obreros construc.,conf.,papel, fab., instr. (073)",4,,,3,,1,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (074)",598,39,89,52,,167,251,
"Ocupaciñn no especificada (076)",165,20,9,82,3,51,,
"Desocupado (077)",25,,,,,,,25
,,,,,,,,
"RURAL (078)",8989,404,1067,4963,380,1871,241,63
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",7,7,,,,,,
"Profes., científicos e intelectuales (080)",326,304,,22,,,,
"Técnicos de nivel medio y trab. asimilados (081)",39,35,,4,,,,
"Jefes y empleados de oficina (082)",15,15,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",172,7,2,130,6,27,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",4781,4,,4410,361,6,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",169,,39,116,3,11,,
"Obreros construc.,conf.,papel, fab., instr. (086)",130,1,69,44,8,8,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (087)",2946,14,933,32,,1726,241,
"Ocupaciñn no especificada (089)",341,17,24,205,2,93,,
"Desocupado (090)",63,,,,,,,63
"Hombres (091)",7715,218,931,4550,363,1603,11,39
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",4,4,,,,,,
"Profes., científicos e intelectuales (093)",182,169,,13,,,,
"Técnicos de nivel medio y trab. asimilados (094)",21,17,,4,,,,
"Jefes y empleados de oficina (095)",9,9,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (096)",71,1,,64,3,3,,
"Agricult.trabaj.calif.agrop.y pesqueros (097)",4665,4,,4307,348,6,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (098)",93,,25,61,3,4,,
