"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia TAYACAJA (000)",1166,343,823
"De 14 a 29 años (001)",623,256,367
"De 30 a 44 años (002)",335,66,269
"De 45 a 64 años (003)",164,21,143
"De 65 y más años (004)",44,,44
"Hombres (005)",899,250,649
"De 14 a 29 años (006)",452,180,272
"De 30 a 44 años (007)",275,52,223
"De 45 a 64 años (008)",138,18,120
"De 65 y más años (009)",34,,34
"Mujeres (010)",267,93,174
"De 14 a 29 años (011)",171,76,95
"De 30 a 44 años (012)",60,14,46
"De 45 a 64 años (013)",26,3,23
"De 65 y más años (014)",10,,10
,,,
"AREA URBANA (015)",402,95,307
"De 14 a 29 años (016)",190,76,114
"De 30 a 44 años (017)",124,16,108
"De 45 a 64 años (018)",73,3,70
"De 65 y más años (019)",15,,15
"Hombres (020)",283,58,225
"De 14 a 29 años (021)",125,46,79
"De 30 a 44 años (022)",87,11,76
"De 45 a 64 años (023)",61,1,60
"De 65 y más años (024)",10,,10
"Mujeres (025)",119,37,82
"De 14 a 29 años (026)",65,30,35
"De 30 a 44 años (027)",37,5,32
"De 45 a 64 años (028)",12,2,10
"De 65 y más años (029)",5,,5
,,,
"AREA RURAL (030)",764,248,516
"De 14 a 29 años (031)",433,180,253
"De 30 a 44 años (032)",211,50,161
"De 45 a 64 años (033)",91,18,73
"De 65 y más años (034)",29,,29
"Hombres (035)",616,192,424
"De 14 a 29 años (036)",327,134,193
"De 30 a 44 años (037)",188,41,147
"De 45 a 64 años (038)",77,17,60
"De 65 y más años (039)",24,,24
"Mujeres (040)",148,56,92
"De 14 a 29 años (041)",106,46,60
"De 30 a 44 años (042)",23,9,14
"De 45 a 64 años (043)",14,1,13
"De 65 y más años (044)",5,,5
