"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia SAN ANTONIO DE PUTINA",,,,,,,,,
"Hogares (001)",15612,513,240,218,120,73,52,47,14349
"Ocupantes presentes (002)",50282,937,575,666,465,309,240,265,46825
"Casa independiente",,,,,,,,,
"Hogares (004)",11447,405,175,183,100,61,48,40,10435
"Ocupantes presentes (005)",37374,741,425,567,386,257,220,234,34544
"Departamento en edificio",,,,,,,,,
"Hogares (007)",18,,,,,,,,18
"Ocupantes presentes (008)",59,,,,,,,,59
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",25,6,2,2,1,2,,,12
"Ocupantes presentes (011)",87,27,9,7,4,12,,,28
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",354,10,3,5,3,1,1,1,330
"Ocupantes presentes (014)",920,22,8,12,9,5,8,5,851
"Choza o cabaña",,,,,,,,,
"Hogares (016)",2793,31,23,7,5,2,,2,2723
"Ocupantes presentes (017)",9480,64,54,21,22,10,,8,9301
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",598,25,25,10,7,4,3,3,521
"Ocupantes presentes (020)",1502,35,57,31,29,17,12,15,1306
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",20,,1,,1,1,,,17
"Ocupantes presentes (023)",52,,2,,4,1,,,45
"Otro tipo",,,,,,,,,
"Hogares (025)",357,36,11,11,3,2,,1,293
"Ocupantes presentes (026)",808,48,20,28,11,7,,3,691
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",10347,442,201,198,113,70,51,40,9232
"Ocupantes presentes (029)",33473,778,485,613,437,294,238,232,30396
"Casa independiente",,,,,,,,,
"Hogares (031)",9005,365,159,170,98,60,47,35,8071
"Ocupantes presentes (032)",30120,646,389,535,380,252,218,209,27491
"Departamento en edificio",,,,,,,,,
"Hogares (034)",18,,,,,,,,18
"Ocupantes presentes (035)",59,,,,,,,,59
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",25,6,2,2,1,2,,,12
"Ocupantes presentes (038)",87,27,9,7,4,12,,,28
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",354,10,3,5,3,1,1,1,330
"Ocupantes presentes (041)",920,22,8,12,9,5,8,5,851
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",598,25,25,10,7,4,3,3,521
"Ocupantes presentes (047)",1502,35,57,31,29,17,12,15,1306
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",16,,1,,1,1,,,13
"Ocupantes presentes (050)",42,,2,,4,1,,,35
"Otro tipo",,,,,,,,,
"Hogares (052)",331,36,11,11,3,2,,1,267
"Ocupantes presentes (053)",743,48,20,28,11,7,,3,626
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",5265,71,39,20,7,3,1,7,5117
"Ocupantes presentes (056)",16809,159,90,53,28,15,2,33,16429
"Casa independiente",,,,,,,,,
"Hogares (058)",2442,40,16,13,2,1,1,5,2364
"Ocupantes presentes (059)",7254,95,36,32,6,5,2,25,7053
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",2793,31,23,7,5,2,,2,2723
"Ocupantes presentes (071)",9480,64,54,21,22,10,,8,9301
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",4,,,,,,,,4
"Ocupantes presentes (077)",10,,,,,,,,10
"Otro tipo",,,,,,,,,
"Hogares (079)",26,,,,,,,,26
"Ocupantes presentes (080)",65,,,,,,,,65
