"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia HUARAL (000)",46317,500,15584,14743,5689,2217,933,253,47,,6351
"Catolica (001)",39225,413,13131,12495,4928,1899,799,210,41,,5309
"Cristiana / Evangelica (002)",5213,70,1896,1606,561,236,97,28,5,,714
"Otra (003)",1111,11,297,391,134,55,27,9,1,,186
"Ninguna (004)",768,6,260,251,66,27,10,6,,,142
,,,,,,,,,,,
"URBANA (006)",39140,402,12752,12454,4888,1924,843,222,42,,5613
"Catolica (007)",32831,328,10632,10435,4206,1634,717,181,36,,4662
"Cristiana / Evangelica (008)",4572,61,1624,1420,497,209,91,27,5,,638
"Otra (009)",1053,10,271,373,128,55,26,8,1,,181
"Ninguna (010)",684,3,225,226,57,26,9,6,,,132
,,,,,,,,,,,
"RURAL (012)",7177,98,2832,2289,801,293,90,31,5,,738
"Catolica (013)",6394,85,2499,2060,722,265,82,29,5,,647
"Cristiana / Evangelica (014)",641,9,272,186,64,27,6,1,,,76
"Otra (015)",58,1,26,18,6,,1,1,,,5
"Ninguna (016)",84,3,35,25,9,1,1,,,,10
