"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia HUANCABAMBA (000)",2394,904,1490
"Sin nivel (001)",341,127,214
"Educación inicial (002)",1,1,
"Primaria (003)",1258,472,786
"Secundaria (004)",551,214,337
"Superior no univ. incompleta (005)",57,20,37
"Superior no univ. completa (006)",102,33,69
"Superior univ. incompleta (007)",42,19,23
"Superior univ. completa (008)",42,18,24
"Hombres (010)",1954,697,1257
"Sin nivel (011)",265,102,163
"Primaria (013)",1077,377,700
"Secundaria (014)",445,164,281
"Superior no univ. incompleta (015)",38,9,29
"Superior no univ. completa (016)",70,18,52
"Superior univ. incompleta (017)",33,14,19
"Superior univ. completa (018)",26,13,13
"Mujeres (020)",440,207,233
"Sin nivel (021)",76,25,51
"Educación inicial (022)",1,1,
"Primaria (023)",181,95,86
"Secundaria (024)",106,50,56
"Superior no univ. incompleta (025)",19,11,8
"Superior no univ. completa (026)",32,15,17
"Superior univ. incompleta (027)",9,5,4
"Superior univ. completa (028)",16,5,11
,,,
"AREA URBANA (030)",324,104,220
"Sin nivel (031)",21,7,14
"Primaria (033)",82,19,63
"Secundaria (034)",102,36,66
"Superior no univ. incompleta (035)",33,11,22
"Superior no univ. completa (036)",45,14,31
"Superior univ. incompleta (037)",15,7,8
"Superior univ. completa (038)",26,10,16
"Hombres (040)",232,64,168
"Sin nivel (041)",16,5,11
"Primaria (043)",72,15,57
"Secundaria (044)",78,26,52
"Superior no univ. incompleta (045)",23,4,19
"Superior no univ. completa (046)",22,5,17
"Superior univ. incompleta (047)",8,3,5
"Superior univ. completa (048)",13,6,7
"Mujeres (050)",92,40,52
"Sin nivel (051)",5,2,3
"Primaria (053)",10,4,6
"Secundaria (054)",24,10,14
"Superior no univ. incompleta (055)",10,7,3
"Superior no univ. completa (056)",23,9,14
"Superior univ. incompleta (057)",7,4,3
"Superior univ. completa (058)",13,4,9
,,,
"AREA RURAL (060)",2070,800,1270
"Sin nivel (061)",320,120,200
"Educación inicial (062)",1,1,
"Primaria (063)",1176,453,723
"Secundaria (064)",449,178,271
"Superior no univ. incompleta (065)",24,9,15
"Superior no univ. completa (066)",57,19,38
"Superior univ. incompleta (067)",27,12,15
"Superior univ. completa (068)",16,8,8
"Hombres (070)",1722,633,1089
"Sin nivel (071)",249,97,152
"Primaria (073)",1005,362,643
"Secundaria (074)",367,138,229
"Superior no univ. incompleta (075)",15,5,10
"Superior no univ. completa (076)",48,13,35
"Superior univ. incompleta (077)",25,11,14
"Superior univ. completa (078)",13,7,6
"Mujeres (080)",348,167,181
"Sin nivel (081)",71,23,48
"Educación inicial (082)",1,1,
"Primaria (083)",171,91,80
"Secundaria (084)",82,40,42
"Superior no univ. incompleta (085)",9,4,5
"Superior no univ. completa (086)",9,6,3
"Superior univ. incompleta (087)",2,1,1
"Superior univ. completa (088)",3,1,2
