"CUADRO Nº 5: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia SAN PABLO (000)",16919,3669,1021,159,12083
"Conviviente (001)",5508,941,248,39,4283
"Separado(a) (002)",697,132,34,3,530
"Casado(a) (003)",4059,565,400,61,3039
"Viudo(a) (004)",801,94,19,9,679
"Divorciado(a) (005)",34,7,1,1,25
"Soltero(a) (006)",5820,1930,319,46,3527
"Hombres (008)",8144,1594,498,99,5959
"Conviviente (009)",2672,354,106,28,2185
"Separado(a) (010)",97,5,7,,85
"Casado(a) (011)",2021,242,215,40,1529
"Viudo(a) (012)",184,18,5,3,158
"Divorciado(a) (013)",12,2,,,10
"Soltero(a) (014)",3158,973,165,28,1992
"Mujeres (016)",8775,2075,523,60,6124
"Conviviente (017)",2836,587,142,11,2098
"Separado(a) (018)",600,127,27,3,445
"Casado(a) (019)",2038,323,185,21,1510
"Viudo(a) (020)",617,76,14,6,521
"Divorciado(a) (021)",22,5,1,1,15
"Soltero(a) (022)",2662,957,154,18,1535
,,,,,
"URBANA (024)",2743,308,568,88,1782
"Conviviente (025)",785,88,127,20,551
"Separado(a) (026)",103,8,11,1,83
"Casado(a) (027)",760,41,250,35,436
"Viudo(a) (028)",115,8,9,6,92
"Divorciado(a) (029)",7,,1,1,5
"Soltero(a) (030)",973,163,170,25,615
"Hombres (032)",1316,141,265,53,859
"Conviviente (033)",380,33,56,14,277
"Separado(a) (034)",15,,3,,12
"Casado(a) (035)",382,20,124,22,218
"Viudo(a) (036)",23,2,3,1,17
"Divorciado(a) (037)",2,,,,2
"Soltero(a) (038)",514,86,79,16,333
"Mujeres (040)",1427,167,303,35,923
"Conviviente (041)",405,55,71,6,274
"Separado(a) (042)",88,8,8,1,71
"Casado(a) (043)",378,21,126,13,218
"Viudo(a) (044)",92,6,6,5,75
"Divorciado(a) (045)",5,,1,1,3
"Soltero(a) (046)",459,77,91,9,282
,,,,,
"RURAL (048)",14176,3361,453,71,10301
"Conviviente (049)",4723,853,121,19,3732
"Separado(a) (050)",594,124,23,2,447
"Casado(a) (051)",3299,524,150,26,2603
"Viudo(a) (052)",686,86,10,3,587
"Divorciado(a) (053)",27,7,,,20
"Soltero(a) (054)",4847,1767,149,21,2912
"Hombres (056)",6828,1453,233,46,5100
"Conviviente (057)",2292,321,50,14,1908
"Separado(a) (058)",82,5,4,,73
"Casado(a) (059)",1639,222,91,18,1311
"Viudo(a) (060)",161,16,2,2,141
"Divorciado(a) (061)",10,2,,,8
"Soltero(a) (062)",2644,887,86,12,1659
"Mujeres (064)",7348,1908,220,25,5201
"Conviviente (065)",2431,532,71,5,1824
"Separado(a) (066)",512,119,19,2,374
"Casado(a) (067)",1660,302,59,8,1292
"Viudo(a) (068)",525,70,8,1,446
"Divorciado(a) (069)",17,5,,,12
"Soltero(a) (070)",2203,880,63,9,1253
