"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia EL COLLAO (000)",52570,51846,724
"Hombres (001)",26458,26185,273
"Mujeres (002)",26112,25661,451
"De 18 a 29 años (003)",16424,16117,307
"Hombres (004)",8405,8240,165
"Mujeres (005)",8019,7877,142
"De 30 a 44 años (006)",15050,14999,51
"Hombres (007)",7527,7501,26
"Mujeres (008)",7523,7498,25
"De 45 a 64 años (009)",13549,13486,63
"Hombres (010)",6783,6768,15
"Mujeres (011)",6766,6718,48
"De 65 y más años (012)",7547,7244,303
"Hombres (013)",3743,3676,67
"Mujeres (014)",3804,3568,236
,,,
"URBANA (015)",16255,16073,182
"Hombres (016)",8362,8285,77
"Mujeres (017)",7893,7788,105
"De 18 a 29 años (018)",5939,5821,118
"Hombres (019)",3028,2968,60
"Mujeres (020)",2911,2853,58
"De 30 a 44 años (021)",5590,5566,24
"Hombres (022)",2783,2773,10
"Mujeres (023)",2807,2793,14
"De 45 a 64 años (024)",3593,3580,13
"Hombres (025)",1963,1961,2
"Mujeres (026)",1630,1619,11
"De 65 y más años (027)",1133,1106,27
"Hombres (028)",588,583,5
"Mujeres (029)",545,523,22
,,,
"RURAL (030)",36315,35773,542
"Hombres (031)",18096,17900,196
"Mujeres (032)",18219,17873,346
"De 18 a 29 años (033)",10485,10296,189
"Hombres (034)",5377,5272,105
"Mujeres (035)",5108,5024,84
"De 30 a 44 años (036)",9460,9433,27
"Hombres (037)",4744,4728,16
"Mujeres (038)",4716,4705,11
"De 45 a 64 años (039)",9956,9906,50
"Hombres (040)",4820,4807,13
"Mujeres (041)",5136,5099,37
"De 65 y más años (042)",6414,6138,276
"Hombres (043)",3155,3093,62
"Mujeres (044)",3259,3045,214
