"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CARAVELI (000)",16677,10957,2378,1365,1977
"Sin nivel (001)",692,579,58,23,32
"Educación inicial (002)",8,5,2,,1
"Primaria (003)",3256,2556,400,112,188
"Secundaria (004)",7645,4939,1301,587,818
"Superior no univ. incompleta (005)",1283,806,155,97,225
"Superior no univ. completa (006)",1501,894,159,157,291
"Superior univ. incompleta (007)",795,478,100,88,129
"Superior univ. completa (008)",1497,700,203,301,293
"De 06 a 14 años (010)",132,119,10,2,1
"Sin nivel (011)",2,2,,,
"Educación inicial (012)",1,,1,,
"Primaria (013)",74,68,5,1,
"Secundaria (014)",55,49,4,1,1
"De 15 a 29 años (020)",6208,3662,1193,636,717
"Sin nivel (021)",40,25,9,5,1
"Educación inicial (022)",5,3,1,,1
"Primaria (023)",548,384,106,40,18
"Secundaria (024)",3939,2338,842,379,380
"Superior no univ. incompleta (025)",550,329,75,53,93
"Superior no univ. completa (026)",556,319,75,59,103
"Superior univ. incompleta (027)",271,138,52,45,36
"Superior univ. completa (028)",299,126,33,55,85
"De 30 a 44 años (030)",5984,3805,817,504,858
"Sin nivel (031)",219,174,21,9,15
"Educación inicial (032)",2,2,,,
"Primaria (033)",1097,809,161,44,83
"Secundaria (034)",2441,1619,356,151,315
"Superior no univ. incompleta (035)",507,313,64,35,95
"Superior no univ. completa (036)",644,368,67,68,141
"Superior univ. incompleta (037)",326,199,33,31,63
"Superior univ. completa (038)",748,321,115,166,146
"De 45 a 64 años (040)",3534,2635,316,214,369
"Sin nivel (041)",270,225,25,7,13
"Primaria (043)",1142,941,104,24,73
"Secundaria (044)",1088,828,92,54,114
"Superior no univ. incompleta (045)",196,135,16,8,37
"Superior no univ. completa (046)",271,179,17,30,45
"Superior univ. incompleta (047)",172,117,13,12,30
"Superior univ. completa (048)",395,210,49,79,57
"De 65 y más años (050)",819,736,42,9,32
"Sin nivel (051)",161,153,3,2,3
"Primaria (053)",395,354,24,3,14
"Secundaria (054)",122,105,7,2,8
"Superior no univ. incompleta (055)",30,29,,1,
"Superior no univ. completa (056)",30,28,,,2
"Superior univ. incompleta (057)",26,24,2,,
"Superior univ. completa (058)",55,43,6,1,5
,,,,,
