"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CHACHAPOYAS (000)",49700,873,14980,12961,10027,7378,3481
"Hombres (001)",24433,431,7585,6386,4905,3613,1513
"Mujeres (002)",25267,442,7395,6575,5122,3765,1968
"Viviendas particulares (003)",48870,865,14926,12646,9753,7240,3440
"Hombres (004)",23803,424,7564,6146,4677,3505,1487
"Mujeres (005)",25067,441,7362,6500,5076,3735,1953
"Viviendas colectivas (006)",792,8,49,308,257,130,40
"Hombres (007)",611,7,20,236,220,103,25
"Mujeres (008)",181,1,29,72,37,27,15
"Otro tipo (009)",38,,5,7,17,8,1
"Hombres (010)",19,,1,4,8,5,1
"Mujeres (011)",19,,4,3,9,3,
,,,,,,,
"URBANA (012)",34343,548,9743,9363,7227,5143,2319
"Hombres (013)",16495,257,4871,4451,3460,2478,978
"Mujeres (014)",17848,291,4872,4912,3767,2665,1341
"Viviendas particulares (015)",33513,540,9689,9048,6953,5005,2278
"Hombres (016)",15865,250,4850,4211,3232,2370,952
"Mujeres (017)",17648,290,4839,4837,3721,2635,1326
"Viviendas colectivas (018)",792,8,49,308,257,130,40
"Hombres (019)",611,7,20,236,220,103,25
"Mujeres (020)",181,1,29,72,37,27,15
"Otro tipo (021)",38,,5,7,17,8,1
"Hombres (022)",19,,1,4,8,5,1
"Mujeres (023)",19,,4,3,9,3,
,,,,,,,
"RURAL (024)",15357,325,5237,3598,2800,2235,1162
"Hombres (025)",7938,174,2714,1935,1445,1135,535
"Mujeres (026)",7419,151,2523,1663,1355,1100,627
"Viviendas particulares (027)",15357,325,5237,3598,2800,2235,1162
"Hombres (028)",7938,174,2714,1935,1445,1135,535
"Mujeres (029)",7419,151,2523,1663,1355,1100,627
