"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia SECHURA (000)",44120,6896,10163,9618,6878,4970,5595
"Católica (001)",38873,5959,8962,8474,5954,4414,5110
"Cristiana/Evangélica (002)",4123,775,853,876,747,462,410
"Otra (003)",571,94,136,135,96,63,47
"Ninguna (004)",553,68,212,133,81,31,28
"Hombres (006)",22117,3509,4935,4800,3448,2569,2856
"Católica (007)",19679,3044,4400,4284,3002,2306,2643
"Cristiana/Evangélica (008)",1810,371,351,359,347,210,172
"Otra (009)",265,50,56,66,43,28,22
"Ninguna (010)",363,44,128,91,56,25,19
"Mujeres (012)",22003,3387,5228,4818,3430,2401,2739
"Católica (013)",19194,2915,4562,4190,2952,2108,2467
"Cristiana/Evangélica (014)",2313,404,502,517,400,252,238
"Otra (015)",306,44,80,69,53,35,25
"Ninguna (016)",190,24,84,42,25,6,9
,,,,,,,
"URBANA (018)",41381,6445,9522,9047,6492,4643,5232
"Católica (019)",36322,5534,8366,7941,5598,4110,4773
"Cristiana/Evangélica (020)",3975,753,819,850,726,441,386
"Otra (021)",563,94,133,131,95,63,47
"Ninguna (022)",521,64,204,125,73,29,26
"Hombres (024)",20648,3269,4590,4490,3252,2395,2652
"Católica (025)",18304,2817,4079,3993,2819,2142,2454
"Cristiana/Evangélica (026)",1740,362,333,348,338,202,157
"Otra (027)",261,50,55,64,42,28,22
"Ninguna (028)",343,40,123,85,53,23,19
"Mujeres (030)",20733,3176,4932,4557,3240,2248,2580
"Católica (031)",18018,2717,4287,3948,2779,1968,2319
"Cristiana/Evangélica (032)",2235,391,486,502,388,239,229
"Otra (033)",302,44,78,67,53,35,25
"Ninguna (034)",178,24,81,40,20,6,7
,,,,,,,
"RURAL (036)",2739,451,641,571,386,327,363
"Católica (037)",2551,425,596,533,356,304,337
"Cristiana/Evangélica (038)",148,22,34,26,21,21,24
"Otra (039)",8,,3,4,1,,
"Ninguna (040)",32,4,8,8,8,2,2
"Hombres (042)",1469,240,345,310,196,174,204
"Católica (043)",1375,227,321,291,183,164,189
"Cristiana/Evangélica (044)",70,9,18,11,9,8,15
"Otra (045)",4,,1,2,1,,
"Ninguna (046)",20,4,5,6,3,2,
"Mujeres (048)",1270,211,296,261,190,153,159
"Católica (049)",1176,198,275,242,173,140,148
"Cristiana/Evangélica (050)",78,13,16,15,12,13,9
"Otra (051)",4,,2,2,,,
"Ninguna (052)",12,,3,2,5,,2
