"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CHUPACA (000)",19799,236,5789,6602,5382,1790
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",34,,4,14,16,
"Profes., científicos e intelectuales (002)",1542,,338,738,447,19
"Técnicos de nivel medio y trab.asimilados (003)",383,1,135,151,81,15
"Jefes y empleados de oficina (004)",350,,140,118,86,6
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1717,13,550,599,446,109
"Agricult.trabaj. calif. agrop. y pesqueros (006)",4799,14,717,1411,1750,907
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",1465,9,576,548,282,50
"Obreros construc., conf., papel, fab., instr. (008)",1716,,637,662,365,52
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",6537,187,2130,1976,1695,549
"Otra (010)",91,,24,48,19,
"Ocupación no especificada (011)",403,,139,112,93,59
"Desocupado (012)",762,12,399,225,102,24
"Hombres (013)",11916,139,3688,3906,3119,1064
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",28,,2,12,14,
"Profes., científicos e intelectuales (015)",855,,152,377,308,18
"Técnicos de nivel medio y trab.asimilados (016)",266,1,80,106,65,14
"Jefes y empleados de oficina (017)",210,,64,67,73,6
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",643,3,229,218,142,51
"Agricult.trabaj. calif. agrop. y pesqueros (019)",3110,7,465,919,1129,590
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",1246,6,494,468,234,44
"Obreros construc., conf., papel, fab., instr. (021)",1694,,629,652,362,51
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",3059,115,1216,827,654,247
"Otra (023)",86,,20,48,18,
"Ocupación no especificada (024)",174,,60,50,38,26
"Desocupado (025)",545,7,277,162,82,17
"Mujeres (026)",7883,97,2101,2696,2263,726
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",6,,2,2,2,
"Profes., científicos e intelectuales (028)",687,,186,361,139,1
"Técnicos de nivel medio y trab.asimilados (029)",117,,55,45,16,1
"Jefes y empleados de oficina (030)",140,,76,51,13,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",1074,10,321,381,304,58
"Agricult.trabaj. calif. agrop. y pesqueros (032)",1689,7,252,492,621,317
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",219,3,82,80,48,6
