"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia HUARMEY (000)",506,8,269,126,84,19
"Conviviente (001)",164,,74,59,25,6
"Separado(a) (002)",20,,4,8,7,1
"Casado(a) (003)",80,,7,24,42,7
"Viudo(a) (004)",6,,,2,2,2
"Divorciado(a) (005)",1,,,1,,
"Soltero(a) (006)",235,8,184,32,8,3
"Hombres (008)",355,6,182,82,66,19
"Conviviente (009)",109,,44,38,21,6
"Separado(a) (010)",11,,1,4,5,1
"Casado(a) (011)",65,,6,18,34,7
"Viudo(a) (012)",3,,,,1,2
"Soltero(a) (014)",167,6,131,22,5,3
"Mujeres (016)",151,2,87,44,18,
"Conviviente (017)",55,,30,21,4,
"Separado(a) (018)",9,,3,4,2,
"Casado(a) (019)",15,,1,6,8,
"Viudo(a) (020)",3,,,2,1,
"Divorciado(a) (021)",1,,,1,,
"Soltero(a) (022)",68,2,53,10,3,
,,,,,,
"AREA URBANA (024)",409,3,203,112,75,16
"Conviviente (025)",147,,63,54,25,5
"Separado(a) (026)",17,,4,6,7,
"Casado(a) (027)",63,,3,21,33,6
"Viudo(a) (028)",6,,,2,2,2
"Divorciado(a) (029)",1,,,1,,
"Soltero(a) (030)",175,3,133,28,8,3
"Hombres (032)",278,2,133,70,57,16
"Conviviente (033)",97,,37,34,21,5
"Separado(a) (034)",9,,1,3,5,
"Casado(a) (035)",49,,3,15,25,6
"Viudo(a) (036)",3,,,,1,2
"Soltero(a) (038)",120,2,92,18,5,3
"Mujeres (040)",131,1,70,42,18,
"Conviviente (041)",50,,26,20,4,
"Separado(a) (042)",8,,3,3,2,
"Casado(a) (043)",14,,,6,8,
"Viudo(a) (044)",3,,,2,1,
"Divorciado(a) (045)",1,,,1,,
"Soltero(a) (046)",55,1,41,10,3,
,,,,,,
"AREA RURAL (048)",97,5,66,14,9,3
"Conviviente (049)",17,,11,5,,1
"Separado(a) (050)",3,,,2,,1
"Casado(a) (051)",17,,4,3,9,1
"Soltero(a) (054)",60,5,51,4,,
"Hombres (056)",77,4,49,12,9,3
"Conviviente (057)",12,,7,4,,1
"Separado(a) (058)",2,,,1,,1
"Casado(a) (059)",16,,3,3,9,1
"Soltero(a) (062)",47,4,39,4,,
"Mujeres (064)",20,1,17,2,,
"Conviviente (065)",5,,4,1,,
"Separado(a) (066)",1,,,1,,
"Casado(a) (067)",1,,1,,,
"Soltero(a) (070)",13,1,12,,,
