"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia CANAS (000)",13343,12889,3736,1247,1251,1146,2091,1641,1777,454
"Católica (001)",10318,9969,2862,983,978,880,1656,1263,1347,349
"Cristiana/Evangélica (002)",2463,2379,676,212,228,222,369,308,364,84
"Otra (003)",343,333,96,35,25,30,44,54,49,10
"Ninguna (004)",219,208,102,17,20,14,22,16,17,11
,,,,,,,,,,
"URBANA (006)",2234,2145,654,307,273,221,340,191,159,89
"Católica (007)",1942,1867,570,278,241,189,293,158,138,75
"Cristiana/Evangélica (008)",199,196,56,17,25,22,32,25,19,3
"Otra (009)",52,45,13,5,3,7,9,6,2,7
"Ninguna (010)",41,37,15,7,4,3,6,2,,4
,,,,,,,,,,
"RURAL (012)",11109,10744,3082,940,978,925,1751,1450,1618,365
"Católica (013)",8376,8102,2292,705,737,691,1363,1105,1209,274
"Cristiana/Evangélica (014)",2264,2183,620,195,203,200,337,283,345,81
"Otra (015)",291,288,83,30,22,23,35,48,47,3
"Ninguna (016)",178,171,87,10,16,11,16,14,17,7
