"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia TACNA (000)",176606,173931,2675
"Hombres (001)",86457,85038,1419
"Mujeres (002)",90149,88893,1256
"De 18 a 29 años (003)",63366,61594,1772
"Hombres (004)",30894,29848,1046
"Mujeres (005)",32472,31746,726
"De 30 a 44 años (006)",61226,60885,341
"Hombres (007)",29401,29223,178
"Mujeres (008)",31825,31662,163
"De 45 a 64 años (009)",39728,39515,213
"Hombres (010)",19967,19874,93
"Mujeres (011)",19761,19641,120
"De 65 y más años (012)",12286,11937,349
"Hombres (013)",6195,6093,102
"Mujeres (014)",6091,5844,247
,,,
"URBANA (015)",164899,162437,2462
"Hombres (016)",79857,78569,1288
"Mujeres (017)",85042,83868,1174
"De 18 a 29 años (018)",59583,57947,1636
"Hombres (019)",28754,27802,952
"Mujeres (020)",30829,30145,684
"De 30 a 44 años (021)",57551,57225,326
"Hombres (022)",27362,27194,168
"Mujeres (023)",30189,30031,158
"De 45 a 64 años (024)",36746,36554,192
"Hombres (025)",18269,18186,83
"Mujeres (026)",18477,18368,109
"De 65 y más años (027)",11019,10711,308
"Hombres (028)",5472,5387,85
"Mujeres (029)",5547,5324,223
,,,
"RURAL (030)",11707,11494,213
"Hombres (031)",6600,6469,131
"Mujeres (032)",5107,5025,82
"De 18 a 29 años (033)",3783,3647,136
"Hombres (034)",2140,2046,94
"Mujeres (035)",1643,1601,42
"De 30 a 44 años (036)",3675,3660,15
"Hombres (037)",2039,2029,10
"Mujeres (038)",1636,1631,5
"De 45 a 64 años (039)",2982,2961,21
"Hombres (040)",1698,1688,10
"Mujeres (041)",1284,1273,11
"De 65 y más años (042)",1267,1226,41
"Hombres (043)",723,706,17
"Mujeres (044)",544,520,24
