"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia BOLIVAR (000)",3803,52,1678,1226,313,85,55,23,3,,368
"Catolica (001)",2914,38,1237,951,251,71,42,19,3,,302
"Cristiana / Evangelica (002)",600,9,294,185,47,11,10,2,,,42
"Otra (003)",170,2,84,58,8,3,,1,,,14
"Ninguna (004)",119,3,63,32,7,,3,1,,,10
,,,,,,,,,,,
"URBANA (006)",1429,19,544,481,157,45,27,14,,,142
"Catolica (007)",1135,13,409,386,137,39,20,12,,,119
"Cristiana / Evangelica (008)",177,2,76,60,14,4,5,1,,,15
"Otra (009)",83,2,44,25,4,2,,,,,6
"Ninguna (010)",34,2,15,10,2,,2,1,,,2
,,,,,,,,,,,
"RURAL (012)",2374,33,1134,745,156,40,28,9,3,,226
"Catolica (013)",1779,25,828,565,114,32,22,7,3,,183
"Cristiana / Evangelica (014)",423,7,218,125,33,7,5,1,,,27
"Otra (015)",87,,40,33,4,1,,1,,,8
"Ninguna (016)",85,1,48,22,5,,1,,,,8
