"CUADRO Nº 9: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CHINCHA (000)",75318,778,26112,27978,17549,2901
"Empleado (001)",18566,52,6035,8014,4188,277
"Obrero (002)",27691,200,12710,9817,4466,498
"Trabajador independiente (003)",24108,196,5759,8685,7657,1811
"Empleador o patrono (004)",1023,2,255,351,333,82
"Trabajador familiar no remunerado (005)",2317,291,753,599,496,178
"Trabajador del hogar (006)",1613,37,600,512,409,55
"Hombres (008)",48861,531,17216,17462,11595,2057
"Empleado (009)",10795,32,3344,4612,2603,204
"Obrero (010)",20066,168,9151,6704,3583,460
"Trabajador independiente (011)",16236,140,4114,5702,5026,1254
"Empleador o patrono (012)",737,,172,248,253,64
"Trabajador familiar no remunerado (013)",859,180,354,150,105,70
"Trabajador del hogar (014)",168,11,81,46,25,5
"Mujeres (016)",26457,247,8896,10516,5954,844
"Empleado (017)",7771,20,2691,3402,1585,73
"Obrero (018)",7625,32,3559,3113,883,38
"Trabajador independiente (019)",7872,56,1645,2983,2631,557
"Empleador o patrono (020)",286,2,83,103,80,18
"Trabajador familiar no remunerado (021)",1458,111,399,449,391,108
"Trabajador del hogar (022)",1445,26,519,466,384,50
,,,,,,
"URBANA (024)",67495,720,23456,25226,15613,2480
"Empleado (025)",17795,51,5748,7677,4051,268
"Obrero (026)",23580,186,10960,8322,3681,431
"Trabajador independiente (027)",21861,185,5370,7962,6821,1523
"Empleador o patrono (028)",937,2,238,330,298,69
"Trabajador familiar no remunerado (029)",1803,261,589,448,369,136
"Trabajador del hogar (030)",1519,35,551,487,393,53
"Hombres (032)",43318,486,15362,15529,10180,1761
"Empleado (033)",10262,31,3166,4370,2497,198
"Obrero (034)",16959,157,7848,5607,2948,399
"Trabajador independiente (035)",14601,131,3848,5172,4403,1047
"Empleador o patrono (036)",673,,159,234,226,54
"Trabajador familiar no remunerado (037)",671,157,267,106,82,59
"Trabajador del hogar (038)",152,10,74,40,24,4
"Mujeres (040)",24177,234,8094,9697,5433,719
"Empleado (041)",7533,20,2582,3307,1554,70
"Obrero (042)",6621,29,3112,2715,733,32
"Trabajador independiente (043)",7260,54,1522,2790,2418,476
"Empleador o patrono (044)",264,2,79,96,72,15
"Trabajador familiar no remunerado (045)",1132,104,322,342,287,77
"Trabajador del hogar (046)",1367,25,477,447,369,49
,,,,,,
"RURAL (048)",7823,58,2656,2752,1936,421
"Empleado (049)",771,1,287,337,137,9
"Obrero (050)",4111,14,1750,1495,785,67
"Trabajador independiente (051)",2247,11,389,723,836,288
"Empleador o patrono (052)",86,,17,21,35,13
"Trabajador familiar no remunerado (053)",514,30,164,151,127,42
"Trabajador del hogar (054)",94,2,49,25,16,2
"Hombres (056)",5543,45,1854,1933,1415,296
"Empleado (057)",533,1,178,242,106,6
"Obrero (058)",3107,11,1303,1097,635,61
"Trabajador independiente (059)",1635,9,266,530,623,207
"Empleador o patrono (060)",64,,13,14,27,10
"Trabajador familiar no remunerado (061)",188,23,87,44,23,11
"Trabajador del hogar (062)",16,1,7,6,1,1
"Mujeres (064)",2280,13,802,819,521,125
"Empleado (065)",238,,109,95,31,3
"Obrero (066)",1004,3,447,398,150,6
"Trabajador independiente (067)",612,2,123,193,213,81
"Empleador o patrono (068)",22,,4,7,8,3
"Trabajador familiar no remunerado (069)",326,7,77,107,104,31
"Trabajador del hogar (070)",78,1,42,19,15,1
