"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CAJAMARCA (000)",288712,46388,7450,114601,70636,7194,11967,11486,18990
"Jefe o Jefa (001)",74443,10091,68,29806,18115,1897,4423,2256,7787
"Esposa(o)/ compa¤era(o) (002)",49396,12898,99,18437,9382,1036,2741,1061,3742
"Hijo(a)/ hijastro(a) (003)",118293,15359,5634,49954,31031,2826,2910,5886,4693
"Yerno/ nuera (004)",5706,282,13,1950,2050,181,411,213,606
"Nieto(a) (005)",13532,3133,1186,5937,2390,201,123,390,172
"Padres/ suegros (006)",3783,2015,,1168,352,23,91,22,112
"Otro(a) pariente (007)",17922,2209,399,5768,5519,750,856,1190,1231
"Trabajador(a) del hogar (008)",839,75,4,467,254,15,15,5,4
"Pensionista (009)",387,13,2,45,135,23,37,47,85
"Otro(a) no pariente (010)",4411,313,45,1069,1408,242,360,416,558
"Hombres (012)",139483,14404,3702,56215,39929,3646,5299,6226,10062
"Jefe o Jefa (013)",54831,4386,41,23832,14379,1365,3080,1661,6087
"Esposa(o)/ compa¤era(o) (014)",2715,167,2,834,971,98,155,156,332
"Hijo(a)/ hijastro(a) (015)",60024,7130,2839,24199,17973,1442,1160,3139,2142
"Yerno/ nuera (016)",2675,51,5,773,1058,81,225,105,377
"Nieto(a) (017)",6787,1563,602,2838,1357,88,56,191,92
"Padres/ suegros (018)",978,283,,480,114,10,25,13,53
"Otro(a) pariente (019)",9031,721,189,2799,3197,409,391,699,626
"Trabajador(a) del hogar (020)",42,3,,15,19,1,,3,1
"Pensionista (021)",236,2,1,26,80,14,25,31,57
"Otro(a) no pariente (022)",2164,98,23,419,781,138,182,228,295
"Mujeres (024)",149229,31984,3748,58386,30707,3548,6668,5260,8928
"Jefe o Jefa (025)",19612,5705,27,5974,3736,532,1343,595,1700
"Esposa(o)/ compa¤era(o) (026)",46681,12731,97,17603,8411,938,2586,905,3410
"Hijo(a)/ hijastro(a) (027)",58269,8229,2795,25755,13058,1384,1750,2747,2551
"Yerno/ nuera (028)",3031,231,8,1177,992,100,186,108,229
"Nieto(a) (029)",6745,1570,584,3099,1033,113,67,199,80
"Padres/ suegros (030)",2805,1732,,688,238,13,66,9,59
"Otro(a) pariente (031)",8891,1488,210,2969,2322,341,465,491,605
"Trabajador(a) del hogar (032)",797,72,4,452,235,14,15,2,3
"Pensionista (033)",151,11,1,19,55,9,12,16,28
"Otro(a) no pariente (034)",2247,215,22,650,627,104,178,188,263
,,,,,,,,,
"URBANA (036)",159796,14956,4499,44871,48791,6294,11094,10897,18394
"Jefe o Jefa (037)",41643,2452,42,10455,13119,1732,4141,2172,7530
"Esposa(o)/ compa¤era(o) (038)",25830,2673,54,7185,7645,964,2627,1026,3656
"Hijo(a)/ hijastro(a) (039)",61853,6285,3341,18643,18710,2288,2565,5506,4515
"Yerno/ nuera (040)",3206,53,7,527,1302,161,371,203,582
"Nieto(a) (041)",7326,1469,744,2735,1573,165,109,364,167
"Padres/ suegros (042)",2275,795,,912,329,20,89,21,109
