"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia SANTA CRUZ (000)",11607,166,4570,3692,1252,459,178,79,13,,1198
"Conviviente (001)",4238,80,1796,1352,459,136,40,25,1,,349
"Separado(a) (002)",597,10,213,201,78,30,14,5,1,,45
"Casado(a) (003)",4462,49,1829,1526,498,183,76,33,7,,261
"Viudo(a) (004)",1149,22,501,359,100,42,19,11,4,,91
"Divorciado(a) (005)",45,,15,16,5,2,1,,,,6
"Soltero(a) (006)",1116,5,216,238,112,66,28,5,,,446
,,,,,,,,,,,
"URBANA (008)",2520,11,721,808,373,155,61,30,5,,356
"Conviviente (009)",755,8,244,275,102,40,7,9,,,70
"Separado(a) (010)",139,1,47,40,22,7,3,3,1,,15
"Casado(a) (011)",1064,2,303,372,181,73,34,12,3,,84
"Viudo(a) (012)",211,,78,59,24,11,8,5,1,,25
"Divorciado(a) (013)",11,,4,3,1,1,,,,,2
"Soltero(a) (014)",340,,45,59,43,23,9,1,,,160
,,,,,,,,,,,
"RURAL (016)",9087,155,3849,2884,879,304,117,49,8,,842
"Conviviente (017)",3483,72,1552,1077,357,96,33,16,1,,279
"Separado(a) (018)",458,9,166,161,56,23,11,2,,,30
"Casado(a) (019)",3398,47,1526,1154,317,110,42,21,4,,177
"Viudo(a) (020)",938,22,423,300,76,31,11,6,3,,66
"Divorciado(a) (021)",34,,11,13,4,1,1,,,,4
"Soltero(a) (022)",776,5,171,179,69,43,19,4,,,286
