"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CASMA (000)",16834,158,5675,5976,4048,977
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",30,,4,10,16,
"Profes., científicos e intelectuales (002)",1002,,176,568,247,11
"Técnicos de nivel medio y trab.asimilados (003)",433,,126,188,97,22
"Jefes y empleados de oficina (004)",545,,211,223,105,6
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2126,11,579,818,601,117
"Agricult.trabaj. calif. agrop. y pesqueros (006)",2530,9,509,791,835,386
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",1029,4,360,379,247,39
"Obreros construc., conf., papel, fab., instr. (008)",1987,8,777,741,408,53
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",6059,103,2409,1949,1307,291
"Otra (010)",47,,5,31,11,
"Ocupación no especificada (011)",186,,60,66,41,19
"Desocupado (012)",860,23,459,212,133,33
"Hombres (013)",12074,107,4129,4080,2927,831
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",23,,3,8,12,
"Profes., científicos e intelectuales (015)",486,,75,260,145,6
"Técnicos de nivel medio y trab.asimilados (016)",265,,71,114,59,21
"Jefes y empleados de oficina (017)",251,,78,102,66,5
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",903,6,265,330,240,62
"Agricult.trabaj. calif. agrop. y pesqueros (019)",2352,5,462,734,779,372
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",714,3,238,254,183,36
"Obreros construc., conf., papel, fab., instr. (021)",1960,7,767,731,402,53
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",4381,68,1825,1338,913,237
"Otra (023)",45,,5,31,9,
"Ocupación no especificada (024)",59,,21,20,11,7
"Desocupado (025)",635,18,319,158,108,32
"Mujeres (026)",4760,51,1546,1896,1121,146
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",7,,1,2,4,
"Profes., científicos e intelectuales (028)",516,,101,308,102,5
"Técnicos de nivel medio y trab.asimilados (029)",168,,55,74,38,1
"Jefes y empleados de oficina (030)",294,,133,121,39,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",1223,5,314,488,361,55
"Agricult.trabaj. calif. agrop. y pesqueros (032)",178,4,47,57,56,14
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",315,1,122,125,64,3
"Obreros construc., conf., papel, fab., instr. (034)",27,1,10,10,6,
