"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia HUARMEY (000)",10991,121,3525,4043,2603,699
"Agric., ganadería, caza y silvicultura (001)",3086,45,1026,969,735,311
"Pesca (002)",778,1,184,311,233,49
"Explotación de minas y canteras (003)",112,,32,53,27,
"Industrias manufactureras (004)",610,12,211,221,136,30
"Suministro de electricidad, gas y agua (005)",23,,7,6,8,2
"Construcción (006)",681,2,257,260,143,19
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1591,27,391,606,439,128
"Venta, mant.y rep. veh.autom.y motoc. (008)",157,,53,64,37,3
"Comercio al por mayor (009)",43,,17,15,9,2
"Comercio al por menor (010)",1391,27,321,527,393,123
"Hoteles y restaurantes (011)",555,9,145,214,143,44
"Trans., almac. y comunicaciones (012)",879,5,375,329,144,26
"Intermediación financiera (013)",8,,2,4,2,
"Activid.inmobil., empres. y alquileres (014)",434,1,161,184,77,11
"Admin.pub. y defensa; p. segur.soc afil (015)",356,,110,156,85,5
"Enseñanza (016)",559,,67,300,188,4
"Servicios sociales y de salud (017)",110,,21,62,25,2
"Otras activ. serv.comun.soc y personales (018)",250,5,89,87,50,19
"Hogares privados con servicio doméstico (019)",96,3,47,26,14,6
"Actividad economica no especificada (021)",357,3,131,129,70,24
"Desocupado (022)",506,8,269,126,84,19
"Hombres (023)",7902,83,2579,2790,1899,551
"Agric., ganadería, caza y silvicultura (024)",2685,35,887,832,639,292
"Pesca (025)",757,1,178,298,231,49
"Explotación de minas y canteras (026)",111,,31,53,27,
"Industrias manufactureras (027)",438,6,151,149,103,29
"Suministro de electricidad, gas y agua (028)",22,,6,6,8,2
"Construcción (029)",659,2,250,248,140,19
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",687,16,172,252,191,56
"Venta, mant.y rep. veh.autom.y motoc. (031)",149,,47,63,36,3
"Comercio al por mayor (032)",28,,11,11,6,
"Comercio al por menor (033)",510,16,114,178,149,53
"Hoteles y restaurantes (034)",175,7,40,62,48,18
"Trans., almac. y comunicaciones (035)",827,4,351,308,141,23
"Intermediación financiera (036)",4,,1,2,1,
"Activid.inmobil., empres. y alquileres (037)",332,,115,143,64,10
"Admin.pub. y defensa; p. segur.soc afil (038)",219,,55,100,60,4
"Enseñanza (039)",245,,22,119,103,1
"Servicios sociales y de salud (040)",39,,11,18,8,2
"Otras activ. serv.comun.soc y personales (041)",148,4,51,49,30,14
