"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia LIMA (000)",3009712,381410,748920,666742,1212640
"Asiste actualmente (001)",2134338,265863,722849,616826,528800
"No asiste (002)",875374,115547,26071,49916,683840
"Hombres (004)",1505077,195268,382261,331885,595663
"Asiste actualmente (005)",1071245,135405,368859,308022,258959
"No asiste (006)",433832,59863,13402,23863,336704
"Mujeres (008)",1504635,186142,366659,334857,616977
"Asiste actualmente (009)",1063093,130458,353990,308804,269841
"No asiste (010)",441542,55684,12669,26053,347136
,,,,,
"URBANA (012)",3005446,380789,747793,665741,1211123
"Asiste actualmente (013)",2131606,265469,721769,615948,528420
"No asiste (014)",873840,115320,26024,49793,682703
"Hombres (016)",1502878,194943,381700,331381,594854
"Asiste actualmente (017)",1069886,135205,368324,307590,258767
"No asiste (018)",432992,59738,13376,23791,336087
"Mujeres (020)",1502568,185846,366093,334360,616269
"Asiste actualmente (021)",1061720,130264,353445,308358,269653
"No asiste (022)",440848,55582,12648,26002,346616
,,,,,
"RURAL (024)",4266,621,1127,1001,1517
"Asiste actualmente (025)",2732,394,1080,878,380
"No asiste (026)",1534,227,47,123,1137
"Hombres (028)",2199,325,561,504,809
"Asiste actualmente (029)",1359,200,535,432,192
"No asiste (030)",840,125,26,72,617
"Mujeres (032)",2067,296,566,497,708
"Asiste actualmente (033)",1373,194,545,446,188
"No asiste (034)",694,102,21,51,520
