"CUADRO Nº 1: VIVIENDAS PARTICULARES, POR CONDICIÓN DE OCUPACIÓN DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",TOTAL,"CONDICIÓN DE OCUPACIÓN",,,,,,,,
,,OCUPADA,,,,DESOCUPADA,,,,
,,TOTAL,"CON PERSONAS PRESENTES","CON PERSONAS AUSENTES","DE USO OCASIONAL",TOTAL,"EN ALQUILER O VENTA","EN CONSTRUCCIÓN O REPARACIÓN","ABANDONADA CERRADA","OTRA CAUSA"
,,,,,,,,,,
"Provincia CONTUMAZA (000)",11419,10171,8135,685,1351,1248,34,247,937,30
"Casa independiente (001)",10729,9546,7670,644,1232,1183,34,236,885,28
"Vivienda en quinta (003)",28,28,26,2,,,,,,
"Vivienda en casa de vecindad (004)",23,10,9,,1,13,,11,2,
"Choza o cabaña (005)",630,581,426,38,117,49,,,47,2
"Vivienda improvisada (006)",7,4,2,1,1,3,,,3,
"Local no dest.para hab. humana (007)",1,1,1,,,,,,,
"Otro tipo (008)",1,1,1,,,,,,,
,,,,,,,,,,
"URBANA (009)",4318,3970,3450,354,166,348,16,103,216,13
"Casa independiente (010)",4258,3926,3411,351,164,332,16,92,211,13
"Vivienda en quinta (012)",28,28,26,2,,,,,,
"Vivienda en casa de vecindad (013)",23,10,9,,1,13,,11,2,
"Vivienda improvisada (015)",7,4,2,1,1,3,,,3,
"Local no dest.para hab. humana (016)",1,1,1,,,,,,,
"Otro tipo (017)",1,1,1,,,,,,,
,,,,,,,,,,
"RURAL (018)",7101,6201,4685,331,1185,900,18,144,721,17
"Casa independiente (019)",6471,5620,4259,293,1068,851,18,144,674,15
"Choza o cabaña (023)",630,581,426,38,117,49,,,47,2
