"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CAJATAMBO (000)",7309,1798,1583,1550,1378,1000
"Sin nivel (001)",601,37,19,73,200,272
"Educación inicial (002)",88,85,3,,,
"Primaria (003)",3483,1374,297,525,688,599
"Secundaria (004)",2163,302,1032,500,256,73
"Superior no univ. incompleta (005)",166,,68,58,35,5
"Superior no univ. completa (006)",245,,65,116,51,13
"Superior univ. incompleta (007)",127,,32,50,37,8
"Superior univ. completa (008)",436,,67,228,111,30
"PEA (010)",2956,67,752,1007,791,339
"Sin nivel (011)",143,5,5,24,59,50
"Educación inicial (012)",1,,1,,,
"Primaria (013)",1043,49,133,265,364,232
"Secundaria (014)",988,13,429,328,183,35
"Superior no univ. incompleta (015)",125,,46,45,29,5
"Superior no univ. completa (016)",188,,54,99,32,3
"Superior univ. incompleta (017)",103,,26,44,28,5
"Superior univ. completa (018)",365,,58,202,96,9
"Ocupada (020)",2864,64,700,988,780,332
"Sin nivel (021)",140,5,5,23,59,48
"Educación inicial (022)",1,,1,,,
"Primaria (023)",1020,47,127,260,358,228
"Secundaria (024)",930,12,386,318,180,34
"Superior no univ. incompleta (025)",124,,46,45,28,5
"Superior no univ. completa (026)",185,,52,98,32,3
"Superior univ. incompleta (027)",100,,25,42,28,5
"Superior univ. completa (028)",364,,58,202,95,9
"Desocupada (030)",92,3,52,19,11,7
"Sin nivel (031)",3,,,1,,2
"Primaria (033)",23,2,6,5,6,4
