"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia BOLIVAR",,,,,,,,
"Hogares (001)",3834,2507,780,201,4,83,46,1108
"Ocupantes presentes (002)",16570,11245,3346,862,15,345,199,4388
"Casa independiente",,,,,,,,
"Hogares (004)",3634,2373,761,196,4,82,43,1044
"Ocupantes presentes (005)",15700,10610,3263,835,15,341,183,4158
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Hogares (010)",11,9,7,2,,1,3,2
"Ocupantes presentes (011)",50,44,32,8,,4,16,6
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",5,5,3,1,,,,
"Ocupantes presentes (014)",5,5,3,1,,,,
"Choza o cabaña",,,,,,,,
"Hogares (016)",181,118,9,2,,,,61
"Ocupantes presentes (017)",802,575,48,18,,,,222
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",3,2,,,,,,1
"Ocupantes presentes (023)",13,11,,,,,,2
"Otro tipo",,,,,,,,
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",1420,946,618,160,2,68,44,318
"Ocupantes presentes (029)",5674,3838,2583,685,9,294,193,1177
"Casa independiente",,,,,,,,
"Hogares (031)",1402,931,608,157,2,67,41,315
"Ocupantes presentes (032)",5611,3783,2548,676,9,290,177,1169
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Hogares (037)",11,9,7,2,,1,3,2
"Ocupantes presentes (038)",50,44,32,8,,4,16,6
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",5,5,3,1,,,,
"Ocupantes presentes (041)",5,5,3,1,,,,
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",2,1,,,,,,1
"Ocupantes presentes (050)",8,6,,,,,,2
"Otro tipo",,,,,,,,
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",2414,1561,162,41,2,15,2,790
"Ocupantes presentes (056)",10896,7407,763,177,6,51,6,3211
"Casa independiente",,,,,,,,
"Hogares (058)",2232,1442,153,39,2,15,2,729
"Ocupantes presentes (059)",10089,6827,715,159,6,51,6,2989
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",181,118,9,2,,,,61
"Ocupantes presentes (071)",802,575,48,18,,,,222
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (076)",1,1,,,,,,
"Ocupantes presentes (077)",5,5,,,,,,
"Otro tipo",,,,,,,,
