"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia BELLAVISTA (000)",310,76,234
"Sin nivel (001)",12,1,11
"Primaria (003)",139,35,104
"Secundaria (004)",117,24,93
"Superior no univ. incompleta (005)",13,3,10
"Superior no univ. completa (006)",16,7,9
"Superior univ. incompleta (007)",3,1,2
"Superior univ. completa (008)",10,5,5
"Hombres (010)",237,51,186
"Sin nivel (011)",8,1,7
"Primaria (013)",110,25,85
"Secundaria (014)",99,17,82
"Superior no univ. incompleta (015)",6,2,4
"Superior no univ. completa (016)",7,4,3
"Superior univ. incompleta (017)",3,1,2
"Superior univ. completa (018)",4,1,3
"Mujeres (020)",73,25,48
"Sin nivel (021)",4,,4
"Primaria (023)",29,10,19
"Secundaria (024)",18,7,11
"Superior no univ. incompleta (025)",7,1,6
"Superior no univ. completa (026)",9,3,6
"Superior univ. completa (028)",6,4,2
,,,
"AREA URBANA (030)",254,64,190
"Sin nivel (031)",4,1,3
"Primaria (033)",106,26,80
"Secundaria (034)",104,22,82
"Superior no univ. incompleta (035)",13,3,10
"Superior no univ. completa (036)",15,7,8
"Superior univ. incompleta (037)",3,1,2
"Superior univ. completa (038)",9,4,5
"Hombres (040)",192,44,148
"Sin nivel (041)",2,1,1
"Primaria (043)",85,20,65
"Secundaria (044)",86,15,71
"Superior no univ. incompleta (045)",6,2,4
"Superior no univ. completa (046)",6,4,2
"Superior univ. incompleta (047)",3,1,2
"Superior univ. completa (048)",4,1,3
"Mujeres (050)",62,20,42
"Sin nivel (051)",2,,2
"Primaria (053)",21,6,15
"Secundaria (054)",18,7,11
"Superior no univ. incompleta (055)",7,1,6
"Superior no univ. completa (056)",9,3,6
"Superior univ. completa (058)",5,3,2
,,,
"AREA RURAL (060)",56,12,44
"Sin nivel (061)",8,,8
"Primaria (063)",33,9,24
"Secundaria (064)",13,2,11
"Superior no univ. completa (066)",1,,1
"Superior univ. completa (068)",1,1,
"Hombres (070)",45,7,38
"Sin nivel (071)",6,,6
"Primaria (073)",25,5,20
"Secundaria (074)",13,2,11
"Superior no univ. completa (076)",1,,1
"Mujeres (080)",11,5,6
"Sin nivel (081)",2,,2
"Primaria (083)",8,4,4
"Superior univ. completa (088)",1,1,
