"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia LAMPA (000)",44151,5898,1096,19172,13554,1335,1389,768,939
"Jefe o Jefa (001)",13352,1701,8,6263,3827,373,617,148,415
"Esposa(o)/ compa¤era(o) (002)",6700,1021,11,3609,1629,118,165,42,105
"Hijo(a)/ hijastro(a) (003)",18077,2049,875,7036,6267,669,434,466,281
"Yerno/ nuera (004)",614,8,2,164,308,33,55,16,28
"Nieto(a) (005)",1575,394,135,687,312,19,9,17,2
"Padres/ suegros (006)",498,285,,192,14,3,,1,3
"Otro(a) pariente (007)",2534,337,61,968,892,89,69,60,58
"Trabajador(a) del hogar (008)",51,9,,25,16,1,,,
"Pensionista (009)",8,3,,,4,,,,1
"Otro(a) no pariente (010)",742,91,4,228,285,30,40,18,46
"Hombres (012)",21420,1913,525,8504,7623,802,883,519,651
"Jefe o Jefa (013)",8805,492,6,3979,3001,311,521,132,363
"Esposa(o)/ compa¤era(o) (014)",466,21,1,160,208,17,24,14,21
"Hijo(a)/ hijastro(a) (015)",9254,1009,427,3319,3416,375,236,297,175
"Yerno/ nuera (016)",271,5,1,57,133,17,32,10,16
"Nieto(a) (017)",779,195,60,331,168,10,4,9,2
"Padres/ suegros (018)",153,48,,92,9,1,,,3
"Otro(a) pariente (019)",1271,114,28,444,515,53,33,44,40
"Trabajador(a) del hogar (020)",15,,,11,3,1,,,
"Pensionista (021)",8,3,,,4,,,,1
"Otro(a) no pariente (022)",398,26,2,111,166,17,33,13,30
"Mujeres (024)",22731,3985,571,10668,5931,533,506,249,288
"Jefe o Jefa (025)",4547,1209,2,2284,826,62,96,16,52
"Esposa(o)/ compa¤era(o) (026)",6234,1000,10,3449,1421,101,141,28,84
"Hijo(a)/ hijastro(a) (027)",8823,1040,448,3717,2851,294,198,169,106
"Yerno/ nuera (028)",343,3,1,107,175,16,23,6,12
"Nieto(a) (029)",796,199,75,356,144,9,5,8,
"Padres/ suegros (030)",345,237,,100,5,2,,1,
"Otro(a) pariente (031)",1263,223,33,524,377,36,36,16,18
"Trabajador(a) del hogar (032)",36,9,,14,13,,,,
"Otro(a) no pariente (034)",344,65,2,117,119,13,7,5,16
,,,,,,,,,
"URBANA (036)",17073,1805,464,5937,6002,744,920,506,695
"Jefe o Jefa (037)",4992,456,4,1773,1736,212,427,92,292
"Esposa(o)/ compa¤era(o) (038)",2447,223,4,1055,850,78,122,27,88
"Hijo(a)/ hijastro(a) (039)",6935,728,349,2287,2443,341,262,309,216
"Yerno/ nuera (040)",268,1,,41,132,21,39,12,22
"Nieto(a) (041)",597,142,68,234,119,15,5,12,2
"Padres/ suegros (042)",208,114,,78,10,3,,1,2
"Otro(a) pariente (043)",1183,103,37,371,503,54,44,38,33
"Trabajador(a) del hogar (044)",16,1,,5,10,,,,
"Pensionista (045)",5,1,,,3,,,,1
"Otro(a) no pariente (046)",422,36,2,93,196,20,21,15,39
"Hombres (048)",8324,606,238,2539,3187,409,557,330,458
