"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia HUALLAGA (000)",22800,2497,701,12463,5651,352,566,145,425
"Jefe o Jefa (001)",6101,271,5,3615,1594,119,243,53,201
"Esposa(o)/ compa¤era(o) (002)",4542,392,5,2797,1049,52,129,29,89
"Hijo(a)/ hijastro(a) (003)",8595,1327,553,4279,2086,121,106,50,73
"Yerno/ nuera (004)",326,3,,143,126,12,26,4,12
"Nieto(a) (005)",809,197,88,353,154,4,7,4,2
"Padres/ suegros (006)",335,89,,224,16,,4,,2
"Otro(a) pariente (007)",1322,149,40,719,350,25,17,1,21
"Trabajador(a) del hogar (008)",48,2,,19,26,1,,,
"Pensionista (009)",26,,,6,8,1,3,1,7
"Otro(a) no pariente (010)",696,67,10,308,242,17,31,3,18
"Hombres (012)",12110,1118,376,6581,3211,195,301,81,247
"Jefe o Jefa (013)",5187,172,4,3080,1426,99,203,42,161
"Esposa(o)/ compa¤era(o) (014)",143,6,,79,36,1,8,2,11
"Hijo(a)/ hijastro(a) (015)",4779,706,299,2409,1194,59,43,28,41
"Yerno/ nuera (016)",131,,,51,52,5,13,3,7
"Nieto(a) (017)",465,114,45,208,89,3,3,2,1
"Padres/ suegros (018)",124,16,,102,6,,,,
"Otro(a) pariente (019)",816,71,22,450,237,16,8,1,11
"Trabajador(a) del hogar (020)",5,1,,2,2,,,,
"Pensionista (021)",19,,,6,7,1,1,1,3
"Otro(a) no pariente (022)",441,32,6,194,162,11,22,2,12
"Mujeres (024)",10690,1379,325,5882,2440,157,265,64,178
"Jefe o Jefa (025)",914,99,1,535,168,20,40,11,40
"Esposa(o)/ compa¤era(o) (026)",4399,386,5,2718,1013,51,121,27,78
"Hijo(a)/ hijastro(a) (027)",3816,621,254,1870,892,62,63,22,32
"Yerno/ nuera (028)",195,3,,92,74,7,13,1,5
"Nieto(a) (029)",344,83,43,145,65,1,4,2,1
"Padres/ suegros (030)",211,73,,122,10,,4,,2
"Otro(a) pariente (031)",506,78,18,269,113,9,9,,10
"Trabajador(a) del hogar (032)",43,1,,17,24,1,,,
"Pensionista (033)",7,,,,1,,2,,4
"Otro(a) no pariente (034)",255,35,4,114,80,6,9,1,6
,,,,,,,,,
"URBANA (036)",12597,912,318,5970,4037,312,504,139,405
"Jefe o Jefa (037)",3371,71,1,1715,1021,102,218,51,192
"Esposa(o)/ compa¤era(o) (038)",2525,94,1,1407,746,44,118,29,86
"Hijo(a)/ hijastro(a) (039)",4581,491,239,1906,1617,112,97,47,72
"Yerno/ nuera (040)",242,2,,84,105,11,24,4,12
"Nieto(a) (041)",558,125,59,221,137,4,6,4,2
"Padres/ suegros (042)",241,45,,180,10,,4,,2
"Otro(a) pariente (043)",655,64,15,308,212,21,13,1,21
"Trabajador(a) del hogar (044)",46,2,,17,26,1,,,
"Pensionista (045)",14,,,4,5,1,,1,3
"Otro(a) no pariente (046)",364,18,3,128,158,16,24,2,15
"Hombres (048)",6457,419,169,2959,2158,172,267,79,234
