"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia DATEM DEL MARAÑON (000)",9901,497,5078,1712,426,125,77,35,9,,1942
"Sin Nivel (001)",2930,170,1232,483,148,49,40,24,9,,775
"Educación Inicial (002)",23,,15,1,1,,,,,,6
"Primaria (003)",4969,290,2890,748,137,45,27,9,,,823
"Secundaria (004)",1515,34,799,336,67,14,4,,,,261
"Sup. no Univ. Incompleta (005)",133,1,51,43,8,4,,,,,26
"Sup. no Univ. Completa (006)",150,,35,51,33,6,3,2,,,20
"Sup. Univ. Incompleta (007)",67,2,25,15,11,2,,,,,12
"Sup. Univ. Completa (008)",114,,31,35,21,5,3,,,,19
,,,,,,,,,,,
"URBANA (010)",2969,114,1582,647,163,47,24,6,,,386
"Sin Nivel (011)",336,24,173,55,21,7,2,1,,,53
"Educación Inicial (012)",3,,1,,1,,,,,,1
"Primaria (013)",1408,69,832,263,49,13,15,4,,,163
"Secundaria (014)",882,19,480,218,37,12,2,,,,114
"Sup. no Univ. Incompleta (015)",91,1,33,31,6,3,,,,,17
"Sup. no Univ. Completa (016)",113,,26,40,25,6,2,1,,,13
"Sup. Univ. Incompleta (017)",42,1,13,10,7,1,,,,,10
"Sup. Univ. Completa (018)",94,,24,30,17,5,3,,,,15
,,,,,,,,,,,
"RURAL (020)",6932,383,3496,1065,263,78,53,29,9,,1556
"Sin Nivel (021)",2594,146,1059,428,127,42,38,23,9,,722
"Educación Inicial (022)",20,,14,1,,,,,,,5
"Primaria (023)",3561,221,2058,485,88,32,12,5,,,660
"Secundaria (024)",633,15,319,118,30,2,2,,,,147
"Sup. no Univ. Incompleta (025)",42,,18,12,2,1,,,,,9
"Sup. no Univ. Completa (026)",37,,9,11,8,,1,1,,,7
"Sup. Univ. Incompleta (027)",25,1,12,5,4,1,,,,,2
"Sup. Univ. Completa (028)",20,,7,5,4,,,,,,4
