"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ZARUMILLA (000)",15599,11926,1454,805,1414
"Hombres (001)",11487,8619,1176,592,1100
"Mujeres (002)",4112,3307,278,213,314
"De 06 a 14 años (003)",232,196,30,4,2
"Hombres (004)",171,140,26,3,2
"Mujeres (005)",61,56,4,1,
"De 15 a 29 años (006)",5858,4449,595,277,537
"Hombres (007)",4284,3185,471,218,410
"Mujeres (008)",1574,1264,124,59,127
"De 30 a 44 años (009)",5606,4135,564,346,561
"Hombres (010)",4035,2904,450,247,434
"Mujeres (011)",1571,1231,114,99,127
"De 45 a 64 años (012)",3331,2616,243,169,303
"Hombres (013)",2508,1938,208,115,247
"Mujeres (014)",823,678,35,54,56
"De 65 y más años (015)",572,530,22,9,11
"Hombres (016)",489,452,21,9,7
"Mujeres (017)",83,78,1,,4
,,,,,
"URBANA (018)",14268,10712,1399,778,1379
"Hombres (019)",10301,7531,1126,570,1074
"Mujeres (020)",3967,3181,273,208,305
"De 06 a 14 años (021)",211,176,29,4,2
"Hombres (022)",154,123,26,3,2
"Mujeres (023)",57,53,3,1,
"De 15 a 29 años (024)",5379,4018,569,265,527
"Hombres (025)",3854,2796,447,208,403
"Mujeres (026)",1525,1222,122,57,124
"De 30 a 44 años (027)",5166,3743,543,337,543
"Hombres (028)",3659,2567,431,241,420
"Mujeres (029)",1507,1176,112,96,123
"De 45 a 64 años (030)",3047,2350,237,163,297
"Hombres (031)",2248,1694,202,109,243
"Mujeres (032)",799,656,35,54,54
"De 65 y más años (033)",465,425,21,9,10
"Hombres (034)",386,351,20,9,6
"Mujeres (035)",79,74,1,,4
,,,,,
"RURAL (036)",1331,1214,55,27,35
"Hombres (037)",1186,1088,50,22,26
"Mujeres (038)",145,126,5,5,9
"De 06 a 14 años (039)",21,20,1,,
"Hombres (040)",17,17,,,
"Mujeres (041)",4,3,1,,
"De 15 a 29 años (042)",479,431,26,12,10
"Hombres (043)",430,389,24,10,7
"Mujeres (044)",49,42,2,2,3
"De 30 a 44 años (045)",440,392,21,9,18
"Hombres (046)",376,337,19,6,14
"Mujeres (047)",64,55,2,3,4
"De 45 a 64 años (048)",284,266,6,6,6
"Hombres (049)",260,244,6,6,4
"Mujeres (050)",24,22,,,2
"De 65 y más años (051)",107,105,1,,1
"Hombres (052)",103,101,1,,1
"Mujeres (053)",4,4,,,
