"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia PACHITEA (000)",13457,247,7123,3735,828,210,110,33,6,,1165
"Catolica (001)",11175,205,5893,3101,703,166,90,27,5,,985
"Cristiana / Evangelica (002)",2148,41,1161,591,119,41,18,6,1,,170
"Otra (003)",43,,19,15,2,1,2,,,,4
"Ninguna (004)",91,1,50,28,4,2,,,,,6
,,,,,,,,,,,
"URBANA (006)",2087,44,957,640,196,52,30,6,1,,161
"Catolica (007)",1585,37,720,487,151,36,21,3,1,,129
"Cristiana / Evangelica (008)",459,7,217,141,42,15,7,3,,,27
"Otra (009)",17,,8,5,1,,2,,,,1
"Ninguna (010)",26,,12,7,2,1,,,,,4
,,,,,,,,,,,
"RURAL (012)",11370,203,6166,3095,632,158,80,27,5,,1004
"Catolica (013)",9590,168,5173,2614,552,130,69,24,4,,856
"Cristiana / Evangelica (014)",1689,34,944,450,77,26,11,3,1,,143
"Otra (015)",26,,11,10,1,1,,,,,3
"Ninguna (016)",65,1,38,21,2,1,,,,,2
