"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia SULLANA (000)",79523,678,26146,25478,10126,3763,1635,405,76,,11216
"Conviviente (001)",23684,284,9622,7550,2501,832,388,78,8,,2421
"Separado(a) (002)",5722,76,1995,1912,808,340,146,34,7,,404
"Casado(a) (003)",35909,210,11615,13011,5494,1977,790,200,34,,2578
"Viudo(a) (004)",5466,76,1995,1810,639,279,153,58,18,,438
"Divorciado(a) (005)",312,2,107,102,46,17,10,2,1,,25
"Soltero(a) (006)",8430,30,812,1093,638,318,148,33,8,,5350
,,,,,,,,,,,
"URBANA (008)",72399,616,23466,23199,9409,3536,1514,377,65,,10217
"Conviviente (009)",21013,249,8509,6736,2240,750,341,63,6,,2119
"Separado(a) (010)",5418,72,1885,1809,774,326,140,33,6,,373
"Casado(a) (011)",32758,198,10366,11872,5153,1883,735,190,30,,2331
"Viudo(a) (012)",5036,69,1848,1669,587,261,146,57,15,,384
"Divorciado(a) (013)",294,2,103,94,43,15,10,2,1,,24
"Soltero(a) (014)",7880,26,755,1019,612,301,142,32,7,,4986
,,,,,,,,,,,
"RURAL (016)",7124,62,2680,2279,717,227,121,28,11,,999
"Conviviente (017)",2671,35,1113,814,261,82,47,15,2,,302
"Separado(a) (018)",304,4,110,103,34,14,6,1,1,,31
"Casado(a) (019)",3151,12,1249,1139,341,94,55,10,4,,247
"Viudo(a) (020)",430,7,147,141,52,18,7,1,3,,54
"Divorciado(a) (021)",18,,4,8,3,2,,,,,1
"Soltero(a) (022)",550,4,57,74,26,17,6,1,1,,364
