"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia ABANCAY (000)",70533,12817,14170,13379,11319,7732,11116
"Católica (001)",61305,11167,12192,11605,9916,6708,9717
"Cristiana/Evangélica (002)",6198,1172,1231,1160,981,707,947
"Otra (003)",1840,291,392,351,264,217,325
"Ninguna (004)",1190,187,355,263,158,100,127
"Hombres (006)",34493,6612,6937,6346,5493,3818,5287
"Católica (007)",29912,5755,5942,5448,4810,3303,4654
"Cristiana/Evangélica (008)",2876,591,549,530,448,338,420
"Otra (009)",908,146,213,176,128,106,139
"Ninguna (010)",797,120,233,192,107,71,74
"Mujeres (012)",36040,6205,7233,7033,5826,3914,5829
"Católica (013)",31393,5412,6250,6157,5106,3405,5063
"Cristiana/Evangélica (014)",3322,581,682,630,533,369,527
"Otra (015)",932,145,179,175,136,111,186
"Ninguna (016)",393,67,122,71,51,29,53
,,,,,,,
"URBANA (018)",45745,8340,10405,9182,7427,4762,5629
"Católica (019)",39913,7304,8965,8023,6535,4166,4920
"Cristiana/Evangélica (020)",3384,646,787,642,536,352,421
"Otra (021)",1469,237,330,294,219,163,226
"Ninguna (022)",979,153,323,223,137,81,62
"Hombres (024)",21891,4154,4987,4249,3548,2335,2618
"Católica (025)",18988,3639,4262,3658,3106,2024,2299
"Cristiana/Evangélica (026)",1513,309,333,280,242,170,179
"Otra (027)",717,109,180,145,104,78,101
"Ninguna (028)",673,97,212,166,96,63,39
"Mujeres (030)",23854,4186,5418,4933,3879,2427,3011
"Católica (031)",20925,3665,4703,4365,3429,2142,2621
"Cristiana/Evangélica (032)",1871,337,454,362,294,182,242
"Otra (033)",752,128,150,149,115,85,125
"Ninguna (034)",306,56,111,57,41,18,23
,,,,,,,
"RURAL (036)",24788,4477,3765,4197,3892,2970,5487
"Católica (037)",21392,3863,3227,3582,3381,2542,4797
"Cristiana/Evangélica (038)",2814,526,444,518,445,355,526
"Otra (039)",371,54,62,57,45,54,99
"Ninguna (040)",211,34,32,40,21,19,65
"Hombres (042)",12602,2458,1950,2097,1945,1483,2669
"Católica (043)",10924,2116,1680,1790,1704,1279,2355
"Cristiana/Evangélica (044)",1363,282,216,250,206,168,241
"Otra (045)",191,37,33,31,24,28,38
"Ninguna (046)",124,23,21,26,11,8,35
"Mujeres (048)",12186,2019,1815,2100,1947,1487,2818
"Católica (049)",10468,1747,1547,1792,1677,1263,2442
"Cristiana/Evangélica (050)",1451,244,228,268,239,187,285
"Otra (051)",180,17,29,26,21,26,61
"Ninguna (052)",87,11,11,14,10,11,30
