"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia AIJA (000)",2185,30,846,826,207,64,25,13,2,,172
"Catolica (001)",2063,26,784,786,199,62,25,12,2,,167
"Cristiana / Evangelica (002)",109,2,58,33,8,2,,1,,,5
"Otra (003)",11,2,3,6,,,,,,,
"Ninguna (004)",2,,1,1,,,,,,,
,,,,,,,,,,,
"URBANA (006)",744,10,235,308,83,31,13,8,2,,54
"Catolica (007)",716,8,228,296,79,29,13,8,2,,53
"Cristiana / Evangelica (008)",26,2,7,10,4,2,,,,,1
"Otra (009)",2,,,2,,,,,,,
,,,,,,,,,,,
"RURAL (012)",1441,20,611,518,124,33,12,5,,,118
"Catolica (013)",1347,18,556,490,120,33,12,4,,,114
"Cristiana / Evangelica (014)",83,,51,23,4,,,1,,,4
"Otra (015)",9,2,3,4,,,,,,,
"Ninguna (016)",2,,1,1,,,,,,,
