"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia PISCO (000)",47371,43996,11840,7453,7357,5680,6079,2917,2670,3375
"Católica (001)",39762,36914,9941,6385,6276,4847,5039,2328,2098,2848
"Cristiana/Evangélica (002)",5444,5123,1323,743,746,586,799,467,459,321
"Otra (003)",1474,1318,346,199,230,185,184,88,86,156
"Ninguna (004)",691,641,230,126,105,62,57,34,27,50
,,,,,,,,,,
"URBANA (006)",41915,38875,10453,6679,6637,5101,5376,2504,2125,3040
"Católica (007)",35312,32746,8761,5732,5685,4371,4486,2023,1688,2566
"Cristiana/Evangélica (008)",4606,4325,1161,652,647,494,661,371,339,281
"Otra (009)",1399,1251,333,185,216,180,178,81,78,148
"Ninguna (010)",598,553,198,110,89,56,51,29,20,45
,,,,,,,,,,
"RURAL (012)",5456,5121,1387,774,720,579,703,413,545,335
"Católica (013)",4450,4168,1180,653,591,476,553,305,410,282
"Cristiana/Evangélica (014)",838,798,162,91,99,92,138,96,120,40
"Otra (015)",75,67,13,14,14,5,6,7,8,8
"Ninguna (016)",93,88,32,16,16,6,6,5,7,5
