"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia RECUAY",,,,,,,,,
"Hogares (001)",5047,182,86,20,18,20,7,9,4705
"Ocupantes presentes (002)",18746,629,249,57,59,73,25,55,17599
"Casa independiente",,,,,,,,,
"Hogares (004)",4711,177,85,20,18,20,7,9,4375
"Ocupantes presentes (005)",17754,615,248,57,59,73,25,55,16622
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",8,,,,,,,,8
"Ocupantes presentes (011)",27,,,,,,,,27
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",46,2,1,,,,,,43
"Ocupantes presentes (014)",154,5,1,,,,,,148
"Choza o cabaña",,,,,,,,,
"Hogares (016)",274,3,,,,,,,271
"Ocupantes presentes (017)",783,9,,,,,,,774
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",4,,,,,,,,4
"Ocupantes presentes (020)",18,,,,,,,,18
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",4,,,,,,,,4
"Ocupantes presentes (023)",10,,,,,,,,10
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",2846,122,57,14,12,12,6,6,2617
"Ocupantes presentes (029)",10563,411,154,46,39,35,19,31,9828
"Casa independiente",,,,,,,,,
"Hogares (031)",2784,120,56,14,12,12,6,6,2558
"Ocupantes presentes (032)",10354,406,153,46,39,35,19,31,9625
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",8,,,,,,,,8
"Ocupantes presentes (038)",27,,,,,,,,27
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",46,2,1,,,,,,43
"Ocupantes presentes (041)",154,5,1,,,,,,148
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",4,,,,,,,,4
"Ocupantes presentes (047)",18,,,,,,,,18
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",4,,,,,,,,4
"Ocupantes presentes (050)",10,,,,,,,,10
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",2201,60,29,6,6,8,1,3,2088
"Ocupantes presentes (056)",8183,218,95,11,20,38,6,24,7771
"Casa independiente",,,,,,,,,
"Hogares (058)",1927,57,29,6,6,8,1,3,1817
"Ocupantes presentes (059)",7400,209,95,11,20,38,6,24,6997
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",274,3,,,,,,,271
"Ocupantes presentes (071)",783,9,,,,,,,774
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
