"CUADRO Nº 5: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia PADRE ABAD (000)",36306,5844,2949,935,26645
"Conviviente (001)",15344,1948,1103,290,12021
"Separado(a) (002)",1200,129,79,26,969
"Casado(a) (003)",5942,600,809,276,4283
"Viudo(a) (004)",812,81,49,14,668
"Divorciado(a) (005)",131,12,15,3,101
"Soltero(a) (006)",12877,3074,894,326,8603
"Hombres (008)",20604,2780,1797,731,15345
"Conviviente (009)",7997,697,696,207,6408
"Separado(a) (010)",587,46,44,17,483
"Casado(a) (011)",3273,256,509,227,2302
"Viudo(a) (012)",336,26,17,9,284
"Divorciado(a) (013)",81,9,9,3,60
"Soltero(a) (014)",8330,1746,522,268,5808
"Mujeres (016)",15702,3064,1152,204,11300
"Conviviente (017)",7347,1251,407,83,5613
"Separado(a) (018)",613,83,35,9,486
"Casado(a) (019)",2669,344,300,49,1981
"Viudo(a) (020)",476,55,32,5,384
"Divorciado(a) (021)",50,3,6,,41
"Soltero(a) (022)",4547,1328,372,58,2795
,,,,,
"URBANA (024)",19765,2217,2390,819,14387
"Conviviente (025)",7885,645,884,245,6123
"Separado(a) (026)",680,52,67,19,542
"Casado(a) (027)",3398,184,654,242,2339
"Viudo(a) (028)",396,21,34,9,332
"Divorciado(a) (029)",82,5,13,3,61
"Soltero(a) (030)",7324,1310,738,301,4990
"Hombres (032)",10766,957,1475,648,7721
"Conviviente (033)",4088,212,577,174,3134
"Separado(a) (034)",264,10,36,13,205
"Casado(a) (035)",1918,74,419,203,1238
"Viudo(a) (036)",141,7,10,6,118
"Divorciado(a) (037)",49,5,9,3,32
"Soltero(a) (038)",4306,649,424,249,2994
"Mujeres (040)",8999,1260,915,171,6666
"Conviviente (041)",3797,433,307,71,2989
"Separado(a) (042)",416,42,31,6,337
"Casado(a) (043)",1480,110,235,39,1101
"Viudo(a) (044)",255,14,24,3,214
"Divorciado(a) (045)",33,,4,,29
"Soltero(a) (046)",3018,661,314,52,1996
,,,,,
"RURAL (048)",16541,3627,559,116,12258
"Conviviente (049)",7459,1303,219,45,5898
"Separado(a) (050)",520,77,12,7,427
"Casado(a) (051)",2544,416,155,34,1944
"Viudo(a) (052)",416,60,15,5,336
"Divorciado(a) (053)",49,7,2,,40
"Soltero(a) (054)",5553,1764,156,25,3613
"Hombres (056)",9838,1823,322,83,7624
"Conviviente (057)",3909,485,119,33,3274
"Separado(a) (058)",323,36,8,4,278
"Casado(a) (059)",1355,182,90,24,1064
"Viudo(a) (060)",195,19,7,3,166
"Divorciado(a) (061)",32,4,,,28
"Soltero(a) (062)",4024,1097,98,19,2814
"Mujeres (064)",6703,1804,237,33,4634
"Conviviente (065)",3550,818,100,12,2624
"Separado(a) (066)",197,41,4,3,149
"Casado(a) (067)",1189,234,65,10,880
"Viudo(a) (068)",221,41,8,2,170
"Divorciado(a) (069)",17,3,2,,12
"Soltero(a) (070)",1529,667,58,6,799
