"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia HUARMEY (000)",7557,120,2923,2432,741,287,147,48,7,,852
"Sin Nivel (001)",702,24,309,197,55,20,15,9,3,,70
"Educación Inicial (002)",8,1,4,1,2,,,,,,
"Primaria (003)",2256,64,1059,648,177,63,46,16,2,,181
"Secundaria (004)",2629,24,1111,869,218,67,28,8,1,,303
"Sup. no Univ. Incompleta (005)",392,2,107,166,45,15,10,2,,,45
"Sup. no Univ. Completa (006)",614,2,129,229,105,41,15,4,,,89
"Sup. Univ. Incompleta (007)",276,,81,107,22,11,2,4,,,49
"Sup. Univ. Completa (008)",680,3,123,215,117,70,31,5,1,,115
,,,,,,,,,,,
"URBANA (010)",5889,76,2144,1901,610,253,129,43,7,,726
"Sin Nivel (011)",435,10,186,107,36,18,15,6,3,,54
"Educación Inicial (012)",8,1,4,1,2,,,,,,
"Primaria (013)",1472,40,659,424,119,50,36,15,2,,127
"Secundaria (014)",2130,18,886,696,181,57,24,8,1,,259
"Sup. no Univ. Incompleta (015)",358,2,92,156,42,12,10,2,,,42
"Sup. no Univ. Completa (016)",584,2,123,217,100,39,14,4,,,85
"Sup. Univ. Incompleta (017)",266,,80,102,21,10,2,4,,,47
"Sup. Univ. Completa (018)",636,3,114,198,109,67,28,4,1,,112
,,,,,,,,,,,
"RURAL (020)",1668,44,779,531,131,34,18,5,,,126
"Sin Nivel (021)",267,14,123,90,19,2,,3,,,16
"Primaria (023)",784,24,400,224,58,13,10,1,,,54
"Secundaria (024)",499,6,225,173,37,10,4,,,,44
"Sup. no Univ. Incompleta (025)",34,,15,10,3,3,,,,,3
"Sup. no Univ. Completa (026)",30,,6,12,5,2,1,,,,4
"Sup. Univ. Incompleta (027)",10,,1,5,1,1,,,,,2
"Sup. Univ. Completa (028)",44,,9,17,8,3,3,1,,,3
