"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia GRAN CHIMU (000)",344,183,161
"De 14 a 29 años (001)",233,139,94
"De 30 a 44 años (002)",81,35,46
"De 45 a 64 años (003)",23,9,14
"De 65 y más años (004)",7,,7
"Hombres (005)",292,148,144
"De 14 a 29 años (006)",189,106,83
"De 30 a 44 años (007)",74,33,41
"De 45 a 64 años (008)",22,9,13
"De 65 y más años (009)",7,,7
"Mujeres (010)",52,35,17
"De 14 a 29 años (011)",44,33,11
"De 30 a 44 años (012)",7,2,5
"De 45 a 64 años (013)",1,,1
,,,
"AREA URBANA (015)",65,25,40
"De 14 a 29 años (016)",46,21,25
"De 30 a 44 años (017)",12,3,9
"De 45 a 64 años (018)",6,1,5
"De 65 y más años (019)",1,,1
"Hombres (020)",53,18,35
"De 14 a 29 años (021)",35,14,21
"De 30 a 44 años (022)",11,3,8
"De 45 a 64 años (023)",6,1,5
"De 65 y más años (024)",1,,1
"Mujeres (025)",12,7,5
"De 14 a 29 años (026)",11,7,4
"De 30 a 44 años (027)",1,,1
,,,
"AREA RURAL (030)",279,158,121
"De 14 a 29 años (031)",187,118,69
"De 30 a 44 años (032)",69,32,37
"De 45 a 64 años (033)",17,8,9
"De 65 y más años (034)",6,,6
"Hombres (035)",239,130,109
"De 14 a 29 años (036)",154,92,62
"De 30 a 44 años (037)",63,30,33
"De 45 a 64 años (038)",16,8,8
"De 65 y más años (039)",6,,6
"Mujeres (040)",40,28,12
"De 14 a 29 años (041)",33,26,7
"De 30 a 44 años (042)",6,2,4
"De 45 a 64 años (043)",1,,1
