"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia HUARAZ (000)",139377,5524,30184,28009,24379,18440,13217,8998,10626
"Quechua (001)",50570,1111,7437,7728,7622,7529,6460,5290,7393
"Aymara (002)",116,2,16,16,17,18,20,10,17
"Ashaninca (003)",12,,3,2,3,2,2,,
"Otra lengua nativa (004)",37,1,11,8,8,2,3,1,3
"Castellano (005)",88410,4401,22681,20202,16685,10863,6697,3677,3204
"Idioma extranjero (006)",133,,3,28,32,18,32,15,5
"Es sordomudo/a (007)",99,9,33,25,12,8,3,5,4
"Hombres (009)",68053,2753,15362,13763,11815,8892,6241,4401,4826
"Quechua (010)",23589,520,3741,3771,3618,3468,2894,2429,3148
"Aymara (011)",61,2,9,6,11,9,10,6,8
"Ashaninca (012)",3,,1,1,,1,,,
"Otra lengua nativa (013)",13,,1,6,2,2,2,,
"Castellano (014)",44268,2227,11585,9965,8163,5397,3313,1954,1664
"Idioma extranjero (015)",68,,2,7,16,11,20,9,3
"Es sordomudo/a (016)",51,4,23,7,5,4,2,3,3
"Mujeres (018)",71324,2771,14822,14246,12564,9548,6976,4597,5800
"Quechua (019)",26981,591,3696,3957,4004,4061,3566,2861,4245
"Aymara (020)",55,,7,10,6,9,10,4,9
"Ashaninca (021)",9,,2,1,3,1,2,,
"Otra lengua nativa (022)",24,1,10,2,6,,1,1,3
"Castellano (023)",44142,2174,11096,10237,8522,5466,3384,1723,1540
"Idioma extranjero (024)",65,,1,21,16,7,12,6,2
"Es sordomudo/a (025)",48,5,10,18,7,4,1,2,1
,,,,,,,,,
"URBANA (027)",103509,3898,20937,21393,19413,14335,10018,6591,6924
"Quechua (028)",23991,154,1487,3182,3835,4270,3806,3161,4096
"Aymara (029)",88,,9,14,15,15,16,6,13
"Ashaninca (030)",12,,3,2,3,2,2,,
"Otra lengua nativa (031)",32,1,10,6,7,2,2,1,3
"Castellano (032)",79197,3736,19402,18152,15515,10026,6158,3404,2804
"Idioma extranjero (033)",130,,3,28,31,16,32,15,5
"Es sordomudo/a (034)",59,7,23,9,7,4,2,4,3
"Hombres (036)",50352,1969,10653,10408,9322,6882,4719,3250,3149
"Quechua (037)",10967,77,775,1525,1804,1945,1691,1445,1705
"Aymara (038)",44,,4,4,9,8,8,4,7
"Ashaninca (039)",3,,1,1,,1,,,
"Otra lengua nativa (040)",9,,1,4,1,2,1,,
"Castellano (041)",39229,1889,9853,8866,7488,4914,2998,1789,1432
"Idioma extranjero (042)",67,,2,7,16,10,20,9,3
"Es sordomudo/a (043)",33,3,17,1,4,2,1,3,2
"Mujeres (045)",53157,1929,10284,10985,10091,7453,5299,3341,3775
"Quechua (046)",13024,77,712,1657,2031,2325,2115,1716,2391
"Aymara (047)",44,,5,10,6,7,8,2,6
"Ashaninca (048)",9,,2,1,3,1,2,,
"Otra lengua nativa (049)",23,1,9,2,6,,1,1,3
"Castellano (050)",39968,1847,9549,9286,8027,5112,3160,1615,1372
"Idioma extranjero (051)",63,,1,21,15,6,12,6,2
"Es sordomudo/a (052)",26,4,6,8,3,2,1,1,1
,,,,,,,,,
"RURAL (054)",35868,1626,9247,6616,4966,4105,3199,2407,3702
"Quechua (055)",26579,957,5950,4546,3787,3259,2654,2129,3297
"Aymara (056)",28,2,7,2,2,3,4,4,4
"Otra lengua nativa (058)",5,,1,2,1,,1,,
"Castellano (059)",9213,665,3279,2050,1170,837,539,273,400
"Idioma extranjero (060)",3,,,,1,2,,,
"Es sordomudo/a (061)",40,2,10,16,5,4,1,1,1
"Hombres (063)",17701,784,4709,3355,2493,2010,1522,1151,1677
"Quechua (064)",12622,443,2966,2246,1814,1523,1203,984,1443
"Aymara (065)",17,2,5,2,2,1,2,2,1
"Otra lengua nativa (067)",4,,,2,1,,1,,
"Castellano (068)",5039,338,1732,1099,675,483,315,165,232
"Idioma extranjero (069)",1,,,,,1,,,
"Es sordomudo/a (070)",18,1,6,6,1,2,1,,1
"Mujeres (072)",18167,842,4538,3261,2473,2095,1677,1256,2025
"Quechua (073)",13957,514,2984,2300,1973,1736,1451,1145,1854
"Aymara (074)",11,,2,,,2,2,2,3
"Otra lengua nativa (076)",1,,1,,,,,,
"Castellano (077)",4174,327,1547,951,495,354,224,108,168
"Idioma extranjero (078)",2,,,,1,1,,,
"Es sordomudo/a (079)",22,1,4,10,4,2,,1,
