"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia LAMBAYEQUE (000)",54766,27287,27479
"Red pública dentro de la vivienda (001)",21793,19728,2065
"Red pública fuera de la vivienda (002)",1733,989,744
"Pilón de uso público (003)",4073,1100,2973
"Camión - cisterna u otro similar (004)",1157,511,646
"Pozo (005)",19497,3315,16182
"Río, acequia, manatial o similar (006)",3084,219,2865
"Vecino (007)",2926,1180,1746
"Otro (008)",503,245,258
,,,
"URBANA (010)",27896,22503,5393
"Red pública dentro de la vivienda (011)",20169,18762,1407
"Red pública fuera de la vivienda (012)",1106,872,234
"Pilón de uso público (013)",1447,481,966
"Camión - cisterna u otro similar (014)",698,368,330
"Pozo (015)",1228,504,724
"Río, acequia, manatial o similar (016)",579,170,409
"Vecino (017)",2236,1121,1115
"Otro (018)",433,225,208
,,,
"RURAL (020)",26870,4784,22086
"Red pública dentro de la vivienda (021)",1624,966,658
"Red pública fuera de la vivienda (022)",627,117,510
"Pilón de uso público (023)",2626,619,2007
"Camión - cisterna u otro similar (024)",459,143,316
"Pozo (025)",18269,2811,15458
"Río, acequia, manatial o similar (026)",2505,49,2456
"Vecino (027)",690,59,631
"Otro (028)",70,20,50
