"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia JORGE BASADRE (000)",5571,2200,426,475,2470
"Agric., ganadería, caza y silvicultura (001)",1646,1401,167,53,25
"Pesca (002)",22,18,3,,1
"Explotación de minas y canteras (003)",526,47,58,61,360
"Industrias manufactureras (004)",189,100,26,36,27
"Suministro de electricidad, gas y agua (005)",10,3,1,1,5
"Construcción (006)",342,33,42,136,131
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",252,177,27,25,23
"Venta, mant.y rep. veh.autom y motoc. (008)",98,30,20,25,23
"Comercio al por mayor (009)",8,7,1,,
"Comercio al por menor (010)",146,140,6,,
"Hoteles y restaurantes (011)",184,144,14,24,2
"Trans., almac. y comunicaciones (012)",138,57,10,28,43
"Intermediación financiera (013)",7,,3,1,3
"Activid.inmobil., empres. y alquileres (014)",138,33,16,26,63
"Admin.pub. y defensa; p. segur soc.afil (015)",1633,,,,1633
"Enseñanza (016)",142,26,27,39,50
"Servicios sociales y de salud (017)",93,22,7,,64
"Otras activ. serv.comun.soc y personales (018)",41,20,8,5,8
"Hogares privados con servicio doméstico (019)",85,85,,,
"Actividad economica no especificada (021)",123,34,17,40,32
"Hombres (022)",4053,1229,308,409,2107
"Agric., ganadería, caza y silvicultura (023)",1017,855,108,32,22
"Pesca (024)",21,18,2,,1
"Explotación de minas y canteras (025)",502,39,58,59,346
"Industrias manufactureras (026)",146,59,25,36,26
"Suministro de electricidad, gas y agua (027)",10,3,1,1,5
"Construcción (028)",328,30,42,134,122
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",136,66,23,24,23
"Venta, mant.y rep. veh.autom y motoc. (030)",96,29,20,24,23
"Comercio al por mayor (031)",2,2,,,
"Comercio al por menor (032)",38,35,3,,
"Hoteles y restaurantes (033)",73,44,7,22,
"Trans., almac. y comunicaciones (034)",123,46,10,26,41
"Intermediación financiera (035)",2,,2,,
"Activid.inmobil., empres. y alquileres (036)",101,23,10,22,46
"Admin.pub. y defensa; p. segur soc.afil (037)",1389,,,,1389
"Enseñanza (038)",50,6,5,18,21
"Servicios sociales y de salud (039)",43,6,2,,35
"Otras activ. serv.comun.soc y personales (040)",24,13,6,1,4
"Hogares privados con servicio doméstico (041)",8,8,,,
"Actividad economica no especificada (043)",80,13,7,34,26
