"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia ZARUMILLA (000)",18923,2758,4629,4543,6993
"Asiste actualmente (001)",11727,1808,4402,3877,1640
"No asiste (002)",7196,950,227,666,5353
"Hombres (004)",9857,1452,2328,2299,3778
"Asiste actualmente (005)",6016,951,2199,1952,914
"No asiste (006)",3841,501,129,347,2864
"Mujeres (008)",9066,1306,2301,2244,3215
"Asiste actualmente (009)",5711,857,2203,1925,726
"No asiste (010)",3355,449,98,319,2489
,,,,,
"URBANA (012)",17235,2516,4203,4129,6387
"Asiste actualmente (013)",10714,1647,4010,3537,1520
"No asiste (014)",6521,869,193,592,4867
"Hombres (016)",8983,1332,2101,2089,3461
"Asiste actualmente (017)",5503,871,1995,1781,856
"No asiste (018)",3480,461,106,308,2605
"Mujeres (020)",8252,1184,2102,2040,2926
"Asiste actualmente (021)",5211,776,2015,1756,664
"No asiste (022)",3041,408,87,284,2262
,,,,,
"RURAL (024)",1688,242,426,414,606
"Asiste actualmente (025)",1013,161,392,340,120
"No asiste (026)",675,81,34,74,486
"Hombres (028)",874,120,227,210,317
"Asiste actualmente (029)",513,80,204,171,58
"No asiste (030)",361,40,23,39,259
"Mujeres (032)",814,122,199,204,289
"Asiste actualmente (033)",500,81,188,169,62
"No asiste (034)",314,41,11,35,227
