"CUADRO Nº 5: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia PASCO (000)",114493,6483,33934,2843,71619
"Conviviente (001)",28195,1198,8151,657,18284
"Separado(a) (002)",3253,123,554,59,2519
"Casado(a) (003)",31370,783,14089,975,15692
"Viudo(a) (004)",4630,136,1117,114,3269
"Divorciado(a) (005)",333,8,95,13,217
"Soltero(a) (006)",46712,4235,9928,1025,31638
"Hombres (008)",58289,2876,19018,1994,34730
"Conviviente (009)",14560,359,4953,510,8826
"Separado(a) (010)",830,12,215,34,571
"Casado(a) (011)",16314,317,7846,682,7617
"Viudo(a) (012)",1133,21,267,37,809
"Divorciado(a) (013)",163,4,65,10,84
"Soltero(a) (014)",25289,2163,5672,721,16823
"Mujeres (016)",56204,3607,14916,849,36889
"Conviviente (017)",13635,839,3198,147,9458
"Separado(a) (018)",2423,111,339,25,1948
"Casado(a) (019)",15056,466,6243,293,8075
"Viudo(a) (020)",3497,115,850,77,2460
"Divorciado(a) (021)",170,4,30,3,133
"Soltero(a) (022)",21423,2072,4256,304,14815
,,,,,
"URBANA (024)",87493,4577,30463,2378,50287
"Conviviente (025)",20917,980,7029,539,12409
"Separado(a) (026)",2474,100,509,53,1814
"Casado(a) (027)",24640,662,12856,805,10430
"Viudo(a) (028)",3472,115,1031,105,2227
"Divorciado(a) (029)",263,8,80,11,164
"Soltero(a) (030)",35727,2712,8958,865,23243
"Hombres (032)",43826,1952,16458,1614,23964
"Conviviente (033)",10596,292,4061,404,5872
"Separado(a) (034)",601,10,184,31,378
"Casado(a) (035)",12681,275,6951,545,5003
"Viudo(a) (036)",762,16,244,33,470
"Divorciado(a) (037)",122,4,51,8,59
"Soltero(a) (038)",19064,1355,4967,593,12182
"Mujeres (040)",43667,2625,14005,764,26323
"Conviviente (041)",10321,688,2968,135,6537
"Separado(a) (042)",1873,90,325,22,1436
"Casado(a) (043)",11959,387,5905,260,5427
"Viudo(a) (044)",2710,99,787,72,1757
"Divorciado(a) (045)",141,4,29,3,105
"Soltero(a) (046)",16663,1357,3991,272,11061
,,,,,
"RURAL (048)",27000,1906,3471,465,21332
"Conviviente (049)",7278,218,1122,118,5875
"Separado(a) (050)",779,23,45,6,705
"Casado(a) (051)",6730,121,1233,170,5262
"Viudo(a) (052)",1158,21,86,9,1042
"Divorciado(a) (053)",70,,15,2,53
"Soltero(a) (054)",10985,1523,970,160,8395
"Hombres (056)",14463,924,2560,380,10766
"Conviviente (057)",3964,67,892,106,2954
"Separado(a) (058)",229,2,31,3,193
"Casado(a) (059)",3633,42,895,137,2614
"Viudo(a) (060)",371,5,23,4,339
"Divorciado(a) (061)",41,,14,2,25
"Soltero(a) (062)",6225,808,705,128,4641
"Mujeres (064)",12537,982,911,85,10566
"Conviviente (065)",3314,151,230,12,2921
"Separado(a) (066)",550,21,14,3,512
"Casado(a) (067)",3097,79,338,33,2648
"Viudo(a) (068)",787,16,63,5,703
"Divorciado(a) (069)",29,,1,,28
"Soltero(a) (070)",4760,715,265,32,3754
