"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia DOS DE MAYO (000)",39960,12264,11555,7389,5845,2907
"Hombres (001)",19736,6235,5735,3521,2876,1369
"Mujeres (002)",20224,6029,5820,3868,2969,1538
"PEA (003)",12846,280,4025,4232,3221,1088
"Hombres (004)",9544,178,3029,3075,2412,850
"Mujeres (005)",3302,102,996,1157,809,238
"Ocupada (006)",12132,255,3632,4051,3134,1060
"Hombres (007)",9014,165,2764,2924,2333,828
"Mujeres (008)",3118,90,868,1127,801,232
"Desocupada (009)",714,25,393,181,87,28
"Hombres (010)",530,13,265,151,79,22
"Mujeres (011)",184,12,128,30,8,6
"No PEA (012)",27114,11984,7530,3157,2624,1819
"Hombres (013)",10192,6057,2706,446,464,519
"Mujeres (014)",16922,5927,4824,2711,2160,1300
,,,,,,
"URBANA (018)",14213,3982,4205,2942,2067,1017
"Hombres (019)",6972,2042,2069,1377,1035,449
"Mujeres (020)",7241,1940,2136,1565,1032,568
"PEA (021)",4935,51,1483,1871,1224,306
"Hombres (022)",3373,36,1034,1226,848,229
"Mujeres (023)",1562,15,449,645,376,77
"Ocupada (024)",4626,47,1319,1780,1182,298
"Hombres (025)",3141,34,921,1151,812,223
"Mujeres (026)",1485,13,398,629,370,75
"Desocupada (027)",309,4,164,91,42,8
"Hombres (028)",232,2,113,75,36,6
"Mujeres (029)",77,2,51,16,6,2
"No PEA (030)",9278,3931,2722,1071,843,711
"Hombres (031)",3599,2006,1035,151,187,220
"Mujeres (032)",5679,1925,1687,920,656,491
,,,,,,
"RURAL (036)",25747,8282,7350,4447,3778,1890
"Hombres (037)",12764,4193,3666,2144,1841,920
"Mujeres (038)",12983,4089,3684,2303,1937,970
"PEA (039)",7911,229,2542,2361,1997,782
"Hombres (040)",6171,142,1995,1849,1564,621
"Mujeres (041)",1740,87,547,512,433,161
"Ocupada (042)",7506,208,2313,2271,1952,762
"Hombres (043)",5873,131,1843,1773,1521,605
"Mujeres (044)",1633,77,470,498,431,157
"Desocupada (045)",405,21,229,90,45,20
"Hombres (046)",298,11,152,76,43,16
"Mujeres (047)",107,10,77,14,2,4
"No PEA (048)",17836,8053,4808,2086,1781,1108
"Hombres (049)",6593,4051,1671,295,277,299
"Mujeres (050)",11243,4002,3137,1791,1504,809
