"CUADRO Nº 19: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HABITACIONES DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HABITACIONES DE LA VIVIENDA",,,,,,,
,,1,2,3,4,5,6,7,"8 Y MÁS"
,,,,,,,,,
"Provincia AYMARAES",,,,,,,,,
"Viviendas particulares (001)",8828,3194,3408,1066,718,165,132,57,88
"Ocupantes presentes (002)",28442,9079,11348,3755,2652,573,519,183,333
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",8338,2842,3307,1045,707,161,132,57,87
"Ocupantes presentes (005)",27217,8287,11022,3684,2631,566,519,183,325
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",7,6,,,,,,,1
"Ocupantes presentes (008)",17,9,,,,,,,8
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",14,10,3,1,,,,,
"Ocupantes presentes (011)",44,33,9,2,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",127,82,31,4,7,3,,,
"Ocupantes presentes (014)",372,198,135,19,14,6,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",336,250,66,16,3,1,,,
"Ocupantes presentes (017)",784,546,181,50,6,1,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",3,3,,,,,,,
"Ocupantes presentes (020)",5,5,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",3,1,1,,1,,,,
"Ocupantes presentes (023)",3,1,1,,1,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",3858,1051,1486,524,467,119,101,45,65
"Ocupantes presentes (029)",12555,2916,4896,1860,1674,412,396,150,251
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",3705,949,1451,519,460,116,101,45,64
"Ocupantes presentes (032)",12115,2670,4751,1839,1660,406,396,150,243
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",7,6,,,,,,,1
"Ocupantes presentes (035)",17,9,,,,,,,8
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",14,10,3,1,,,,,
"Ocupantes presentes (038)",44,33,9,2,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",127,82,31,4,7,3,,,
"Ocupantes presentes (041)",372,198,135,19,14,6,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",3,3,,,,,,,
"Ocupantes presentes (047)",5,5,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",2,1,1,,,,,,
"Ocupantes presentes (050)",2,1,1,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",4970,2143,1922,542,251,46,31,12,23
"Ocupantes presentes (056)",15887,6163,6452,1895,978,161,123,33,82
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",4633,1893,1856,526,247,45,31,12,23
"Ocupantes presentes (059)",15102,5617,6271,1845,971,160,123,33,82
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",336,250,66,16,3,1,,,
"Ocupantes presentes (071)",784,546,181,50,6,1,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",1,,,,1,,,,
"Ocupantes presentes (077)",1,,,,1,,,,
"Otro tipo",,,,,,,,,
