"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CAJABAMBA (000)",21089,18905,1090,570,524
"Sin nivel (001)",2153,2094,41,9,9
"Educación inicial (002)",25,24,1,,
"Primaria (003)",13237,12621,409,102,105
"Secundaria (004)",3179,2807,191,90,91
"Superior no univ. incompleta (005)",410,310,44,17,39
"Superior no univ. completa (006)",1442,769,289,223,161
"Superior univ. incompleta (007)",117,68,14,15,20
"Superior univ. completa (008)",526,212,101,114,99
"De 06 a 14 años (010)",618,594,23,1,
"Sin nivel (011)",73,73,,,
"Educación inicial (012)",1,1,,,
"Primaria (013)",509,487,21,1,
"Secundaria (014)",35,33,2,,
"De 15 a 29 años (020)",7250,6601,356,138,155
"Sin nivel (021)",396,381,9,5,1
"Educación inicial (022)",12,12,,,
"Primaria (023)",4499,4269,156,35,39
"Secundaria (024)",1606,1442,98,36,30
"Superior no univ. incompleta (025)",191,156,19,9,7
"Superior no univ. completa (026)",399,260,56,37,46
"Superior univ. incompleta (027)",45,31,1,4,9
"Superior univ. completa (028)",102,50,17,12,23
"De 30 a 44 años (030)",6729,5716,486,295,232
"Sin nivel (031)",505,482,17,4,2
"Educación inicial (032)",12,11,1,,
"Primaria (033)",3964,3743,141,42,38
"Secundaria (034)",963,841,66,28,28
"Superior no univ. incompleta (035)",164,116,16,7,25
"Superior no univ. completa (036)",822,398,191,142,91
"Superior univ. incompleta (037)",46,23,7,9,7
"Superior univ. completa (038)",253,102,47,63,41
"De 45 a 64 años (040)",4761,4302,203,130,126
"Sin nivel (041)",627,611,11,,5
"Primaria (043)",3162,3044,77,19,22
"Secundaria (044)",526,445,24,26,31
"Superior no univ. incompleta (045)",50,34,9,1,6
"Superior no univ. completa (046)",207,99,40,44,24
"Superior univ. incompleta (047)",26,14,6,2,4
"Superior univ. completa (048)",163,55,36,38,34
"De 65 y más años (050)",1731,1692,22,6,11
"Sin nivel (051)",552,547,4,,1
"Primaria (053)",1103,1078,14,5,6
"Secundaria (054)",49,46,1,,2
"Superior no univ. incompleta (055)",5,4,,,1
"Superior no univ. completa (056)",14,12,2,,
"Superior univ. completa (058)",8,5,1,1,1
,,,,,
"URBANA (060)",5854,4427,601,440,386
"Sin nivel (061)",264,254,7,,3
